ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-16,SHORT,94585.98,-1.0R,2026-01-16
TR-10001,2026-01-11,LONG,91127.16,-1.0R,2026-01-11
TR-10002,2026-01-11,SHORT,90526.02,-1.0R,2026-01-11
TR-10003,2026-01-11,LONG,91013.65,+2.2R,2026-01-12
TR-10004,2025-12-31,SHORT,87662.01,-1.0R,2026-01-01
TR-10005,2025-12-30,LONG,89016.35,-1.0R,2025-12-30
TR-10006,2025-12-28,LONG,87856.91,-1.0R,2025-12-28
TR-10007,2025-12-28,LONG,87900.09,-1.0R,2025-12-28
TR-10008,2025-12-25,LONG,88371.27,-1.0R,2025-12-25
TR-10009,2025-12-18,LONG,88345.20,-1.0R,2025-12-18
TR-10010,2025-12-18,SHORT,84483.79,-1.0R,2025-12-18
TR-10011,2025-12-12,SHORT,90372.00,+2.2R,2025-12-14
TR-10012,2025-12-09,LONG,92707.51,+2.2R,2025-12-09
TR-10013,2025-12-02,LONG,91458.40,+2.2R,2025-12-03
TR-10014,2025-12-01,SHORT,87000.00,+2.2R,2025-12-01
TR-10015,2025-11-26,SHORT,86899.73,-1.0R,2025-11-26
TR-10016,2025-11-26,LONG,87820.01,+2.2R,2025-11-26
TR-10017,2025-11-23,LONG,86331.28,+2.2R,2025-11-23
TR-10018,2025-11-09,LONG,103762.17,+2.2R,2025-11-09
TR-10019,2025-11-03,SHORT,109665.50,+2.2R,2025-11-03
TR-10020,2025-11-01,LONG,110464.33,-1.0R,2025-11-01
TR-10021,2025-10-21,LONG,112170.52,-1.0R,2025-10-21
TR-10022,2025-10-07,SHORT,121684.17,-1.0R,2025-10-08
TR-10023,2025-09-25,SHORT,111735.66,+2.2R,2025-09-25
TR-10024,2025-09-19,SHORT,115899.99,+2.2R,2025-09-19
TR-10025,2025-09-16,LONG,115658.76,-1.0R,2025-09-16
TR-10026,2025-09-16,SHORT,115200.00,-1.0R,2025-09-16
TR-10027,2025-09-16,LONG,115905.88,+2.2R,2025-09-16
TR-10028,2025-09-15,LONG,116058.01,-1.0R,2025-09-15
TR-10029,2025-09-10,LONG,112370.08,+2.2R,2025-09-10
TR-10030,2025-09-05,LONG,111445.00,+2.2R,2025-09-05
TR-10031,2025-09-04,SHORT,109510.31,-1.0R,2025-09-04
TR-10032,2025-08-29,SHORT,111279.45,+2.2R,2025-08-29
TR-10033,2025-08-24,SHORT,114514.05,+2.2R,2025-08-24
TR-10034,2025-08-22,LONG,116146.47,-1.0R,2025-08-23
TR-10035,2025-08-14,SHORT,117866.42,-1.0R,2025-08-15
TR-10036,2025-08-06,LONG,115413.87,-1.0R,2025-08-07
TR-10037,2025-08-05,SHORT,113037.12,-1.0R,2025-08-05
