TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: XRP
Timeframe: 4h
Period: 2Y
Generated: 2026-01-27T17:27:01.430393Z

SUMMARY STATISTICS (Real Backtest Data - 2Y)
---------------------------------------
Total Trades: 35
Win Rate: 37.1%
Total Net Profit: +6.6 R
Wins: 13 | Losses: 22

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-14  | LONG  | $2.18      | -1.0R      | 2026-01-14 
TR-10001 | 2025-11-25  | LONG  | $2.19      | -1.0R      | 2025-12-01 
TR-10002 | 2025-11-10  | LONG  | $2.53      | -1.0R      | 2025-11-11 
TR-10003 | 2025-10-01  | LONG  | $2.94      | +2.2R      | 2025-10-02 
TR-10004 | 2025-09-08  | LONG  | $2.91      | +2.2R      | 2025-09-08 
TR-10005 | 2025-08-15  | SHORT | $3.03      | -1.0R      | 2025-08-16 
TR-10006 | 2025-06-17  | LONG  | $2.25      | -1.0R      | 2025-06-17 
TR-10007 | 2025-06-13  | SHORT | $2.13      | -1.0R      | 2025-06-16 
TR-10008 | 2025-05-08  | LONG  | $2.33      | +2.2R      | 2025-05-09 
TR-10009 | 2025-04-21  | LONG  | $2.11      | -1.0R      | 2025-04-21 
TR-10010 | 2025-04-12  | LONG  | $2.15      | -1.0R      | 2025-04-13 
TR-10011 | 2025-03-19  | LONG  | $2.55      | -1.0R      | 2025-03-19 
TR-10012 | 2025-03-02  | LONG  | $2.94      | -1.0R      | 2025-03-03 
TR-10013 | 2025-02-14  | LONG  | $2.73      | -1.0R      | 2025-02-17 
TR-10014 | 2025-01-27  | SHORT | $2.81      | -1.0R      | 2025-01-27 
TR-10015 | 2025-01-02  | LONG  | $2.42      | -1.0R      | 2025-01-05 
TR-10016 | 2024-11-06  | LONG  | $0.53      | +2.2R      | 2024-11-07 
TR-10017 | 2024-10-15  | LONG  | $0.55      | -1.0R      | 2024-10-15 
TR-10018 | 2024-10-02  | SHORT | $0.54      | +2.2R      | 2024-10-25 
TR-10019 | 2024-08-27  | SHORT | $0.57      | -1.0R      | 2024-08-28 
TR-10020 | 2024-08-19  | LONG  | $0.59      | -1.0R      | 2024-08-19 
TR-10021 | 2024-07-12  | LONG  | $0.47      | -1.0R      | 2024-07-12 
TR-10022 | 2024-07-03  | SHORT | $0.46      | +2.2R      | 2024-07-04 
TR-10023 | 2024-07-02  | LONG  | $0.48      | -1.0R      | 2024-07-03 
TR-10024 | 2024-06-17  | LONG  | $0.52      | -1.0R      | 2024-06-17 
TR-10025 | 2024-06-07  | SHORT | $0.49      | +2.2R      | 2024-06-11 
TR-10026 | 2024-06-05  | LONG  | $0.53      | -1.0R      | 2024-06-06 
TR-10027 | 2024-05-09  | SHORT | $0.51      | +2.2R      | 2024-05-13 
TR-10028 | 2024-04-26  | SHORT | $0.52      | +2.2R      | 2024-04-30 
TR-10029 | 2024-04-22  | LONG  | $0.54      | +2.2R      | 2024-04-22 
TR-10030 | 2024-04-12  | SHORT | $0.54      | +2.2R      | 2024-04-13 
TR-10031 | 2024-04-08  | LONG  | $0.61      | -1.0R      | 2024-04-09 
TR-10032 | 2024-04-01  | SHORT | $0.62      | +2.2R      | 2024-04-01 
TR-10033 | 2024-02-27  | LONG  | $0.56      | +2.2R      | 2024-02-27 
TR-10034 | 2024-02-09  | LONG  | $0.52      | -1.0R      | 2024-02-12 

[Cryptographically Signed by TraderCopilot Audit Engine]
Hash: 6HFOXI-J512OE
