TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: BNB
Timeframe: 1h
Period: 5Y
Generated: 2026-01-27T17:27:51.053391Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 339
Win Rate: 37.5%
Total Net Profit: +67.4 R
Wins: 127 | Losses: 212

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-24  | SHORT | $887.70    | -1.0R      | 2026-01-24 
TR-10001 | 2026-01-19  | SHORT | $919.86    | -1.0R      | 2026-01-19 
TR-10002 | 2026-01-16  | SHORT | $928.58    | -1.0R      | 2026-01-16 
TR-10003 | 2026-01-16  | SHORT | $926.97    | -1.0R      | 2026-01-16 
TR-10004 | 2026-01-13  | LONG  | $909.42    | +2.2R      | 2026-01-13 
TR-10005 | 2025-12-23  | SHORT | $848.61    | +2.2R      | 2025-12-23 
TR-10006 | 2025-12-14  | SHORT | $882.11    | +2.2R      | 2025-12-14 
TR-10007 | 2025-12-12  | SHORT | $875.94    | -1.0R      | 2025-12-13 
TR-10008 | 2025-12-09  | LONG  | $918.29    | -1.0R      | 2025-12-09 
TR-10009 | 2025-12-07  | LONG  | $896.40    | -1.0R      | 2025-12-07 
TR-10010 | 2025-12-07  | SHORT | $886.80    | +2.2R      | 2025-12-07 
TR-10011 | 2025-12-05  | SHORT | $888.87    | +2.2R      | 2025-12-05 
TR-10012 | 2025-12-02  | LONG  | $876.93    | +2.2R      | 2025-12-03 
TR-10013 | 2025-12-01  | SHORT | $834.50    | +2.2R      | 2025-12-01 
TR-10014 | 2025-11-30  | LONG  | $893.99    | -1.0R      | 2025-11-30 
TR-10015 | 2025-11-29  | SHORT | $878.90    | +2.2R      | 2025-11-29 
TR-10016 | 2025-11-19  | SHORT | $894.73    | +2.2R      | 2025-11-19 
TR-10017 | 2025-11-07  | LONG  | $981.81    | +2.2R      | 2025-11-10 
TR-10018 | 2025-10-19  | LONG  | $1121.88   | -1.0R      | 2025-10-20 
TR-10019 | 2025-10-12  | LONG  | $1224.00   | +2.2R      | 2025-10-12 
TR-10020 | 2025-09-27  | LONG  | $976.23    | -1.0R      | 2025-09-27 
TR-10021 | 2025-09-25  | SHORT | $999.41    | +2.2R      | 2025-09-25 
TR-10022 | 2025-09-24  | SHORT | $1008.14   | -1.0R      | 2025-09-24 
TR-10023 | 2025-09-22  | SHORT | $1022.25   | +2.2R      | 2025-09-22 
TR-10024 | 2025-09-16  | LONG  | $928.78    | -1.0R      | 2025-09-16 
TR-10025 | 2025-09-15  | SHORT | $918.02    | -1.0R      | 2025-09-16 
TR-10026 | 2025-09-04  | SHORT | $847.28    | -1.0R      | 2025-09-05 
TR-10027 | 2025-09-01  | SHORT | $851.99    | -1.0R      | 2025-09-01 
TR-10028 | 2025-08-27  | LONG  | $864.22    | -1.0R      | 2025-08-27 
TR-10029 | 2025-08-24  | SHORT | $861.50    | -1.0R      | 2025-08-24 
TR-10030 | 2025-08-20  | LONG  | $869.11    | -1.0R      | 2025-08-21 
TR-10031 | 2025-08-19  | SHORT | $830.54    | -1.0R      | 2025-08-20 
TR-10032 | 2025-08-15  | SHORT | $818.65    | -1.0R      | 2025-08-15 
