ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-20,SHORT,895.70,+2.2R,2026-01-21
TR-10001,2025-12-29,LONG,869.19,-1.0R,2025-12-29
TR-10002,2025-12-01,SHORT,829.40,+2.2R,2025-12-01
TR-10003,2025-10-29,SHORT,1099.23,-1.0R,2025-10-30
TR-10004,2025-09-29,LONG,1004.94,+2.2R,2025-09-29
TR-10005,2025-09-07,LONG,866.12,+2.2R,2025-09-07
TR-10006,2025-09-01,SHORT,847.20,-1.0R,2025-09-03
TR-10007,2025-08-08,LONG,786.48,+2.2R,2025-08-09
TR-10008,2025-06-10,LONG,667.54,-1.0R,2025-06-12
TR-10009,2025-05-31,SHORT,650.69,-1.0R,2025-05-31
TR-10010,2025-02-22,LONG,675.70,-1.0R,2025-02-23
TR-10011,2025-02-21,SHORT,639.55,-1.0R,2025-02-22
TR-10012,2025-02-11,LONG,637.07,+2.2R,2025-02-12
TR-10013,2025-01-20,SHORT,686.70,-1.0R,2025-01-20
TR-10014,2025-01-15,LONG,714.59,-1.0R,2025-01-16
TR-10015,2024-12-13,LONG,715.62,-1.0R,2024-12-18
TR-10016,2024-11-07,LONG,604.68,-1.0R,2024-11-07
TR-10017,2024-10-31,SHORT,573.20,-1.0R,2024-11-01
TR-10018,2024-10-28,LONG,601.10,-1.0R,2024-10-30
TR-10019,2024-10-08,LONG,577.10,-1.0R,2024-10-09
TR-10020,2024-08-27,SHORT,533.30,-1.0R,2024-08-28
TR-10021,2024-08-11,LONG,520.20,-1.0R,2024-08-11
TR-10022,2024-07-30,SHORT,573.70,-1.0R,2024-07-30
TR-10023,2024-07-30,LONG,588.20,-1.0R,2024-07-31
TR-10024,2024-07-25,SHORT,565.00,-1.0R,2024-07-26
TR-10025,2024-06-11,SHORT,613.30,-1.0R,2024-06-12
TR-10026,2024-05-30,SHORT,589.10,-1.0R,2024-05-30
TR-10027,2024-05-21,LONG,597.90,+2.2R,2024-05-21
TR-10028,2024-05-14,SHORT,568.70,-1.0R,2024-05-15
TR-10029,2024-04-30,SHORT,560.80,-1.0R,2024-04-30
TR-10030,2024-04-14,SHORT,547.90,-1.0R,2024-04-15
TR-10031,2024-04-02,SHORT,555.50,-1.0R,2024-04-04
TR-10032,2024-02-01,SHORT,298.10,-1.0R,2024-02-02
TR-10033,2024-01-29,LONG,308.00,-1.0R,2024-01-31
TR-10034,2024-01-23,SHORT,295.90,-1.0R,2024-01-26
TR-10035,2024-01-15,LONG,312.90,-1.0R,2024-01-18
TR-10036,2023-12-19,LONG,251.40,+2.2R,2023-12-20
TR-10037,2023-12-18,SHORT,237.30,-1.0R,2023-12-18
TR-10038,2023-12-06,LONG,233.30,+2.2R,2023-12-09
TR-10039,2023-11-22,SHORT,233.00,-1.0R,2023-12-12
