TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: SOL
Timeframe: 1h
Period: 5Y
Generated: 2026-01-27T17:27:37.704018Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 311
Win Rate: 44.4%
Total Net Profit: +130.6 R
Wins: 138 | Losses: 173

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-18  | SHORT | $142.54    | +2.2R      | 2026-01-18 
TR-10001 | 2026-01-11  | LONG  | $139.21    | -1.0R      | 2026-01-11 
TR-10002 | 2026-01-08  | LONG  | $139.61    | -1.0R      | 2026-01-09 
TR-10003 | 2026-01-07  | SHORT | $135.26    | -1.0R      | 2026-01-07 
TR-10004 | 2026-01-01  | SHORT | $124.71    | -1.0R      | 2026-01-01 
TR-10005 | 2025-12-30  | LONG  | $125.67    | -1.0R      | 2025-12-30 
TR-10006 | 2025-12-21  | SHORT | $124.42    | -1.0R      | 2025-12-21 
TR-10007 | 2025-12-19  | LONG  | $126.25    | -1.0R      | 2025-12-21 
TR-10008 | 2025-12-09  | LONG  | $143.67    | -1.0R      | 2025-12-09 
TR-10009 | 2025-12-02  | LONG  | $139.48    | +2.2R      | 2025-12-03 
TR-10010 | 2025-11-28  | SHORT | $137.18    | -1.0R      | 2025-11-30 
TR-10011 | 2025-11-23  | LONG  | $130.75    | +2.2R      | 2025-11-24 
TR-10012 | 2025-11-20  | SHORT | $132.57    | -1.0R      | 2025-11-20 
TR-10013 | 2025-11-19  | SHORT | $133.39    | -1.0R      | 2025-11-19 
TR-10014 | 2025-11-11  | SHORT | $160.89    | +2.2R      | 2025-11-11 
TR-10015 | 2025-11-09  | LONG  | $162.53    | +2.2R      | 2025-11-10 
TR-10016 | 2025-10-23  | LONG  | $190.37    | +2.2R      | 2025-10-24 
TR-10017 | 2025-10-21  | LONG  | $192.60    | -1.0R      | 2025-10-21 
TR-10018 | 2025-10-15  | SHORT | $194.20    | +2.2R      | 2025-10-16 
TR-10019 | 2025-10-07  | SHORT | $227.93    | +2.2R      | 2025-10-07 
TR-10020 | 2025-10-05  | LONG  | $231.12    | +2.2R      | 2025-10-05 
TR-10021 | 2025-09-28  | LONG  | $205.05    | +2.2R      | 2025-09-28 
TR-10022 | 2025-09-15  | SHORT | $232.07    | -1.0R      | 2025-09-15 
TR-10023 | 2025-09-07  | LONG  | $204.68    | +2.2R      | 2025-09-07 
TR-10024 | 2025-08-27  | LONG  | $205.17    | -1.0R      | 2025-08-27 
TR-10025 | 2025-08-22  | LONG  | $193.47    | +2.2R      | 2025-08-22 
TR-10026 | 2025-08-18  | SHORT | $183.95    | +2.2R      | 2025-08-19 
TR-10027 | 2025-08-17  | LONG  | $191.88    | +2.2R      | 2025-08-17 
TR-10028 | 2025-08-12  | LONG  | $188.18    | +2.2R      | 2025-08-12 
TR-10029 | 2025-08-11  | SHORT | $178.24    | -1.0R      | 2025-08-12 
TR-10030 | 2025-08-06  | LONG  | $167.74    | +2.2R      | 2025-08-07 
TR-10031 | 2025-07-26  | LONG  | $188.98    | -1.0R      | 2025-07-26 
TR-10032 | 2025-07-23  | SHORT | $188.70    | +2.2R      | 2025-07-24 
TR-10033 | 2025-07-15  | SHORT | $160.58    | -1.0R      | 2025-07-15 
TR-10034 | 2025-07-08  | LONG  | $152.41    | -1.0R      | 2025-07-08 
TR-10035 | 2025-07-06  | LONG  | $151.53    | +2.2R      | 2025-07-06 
TR-10036 | 2025-06-26  | SHORT | $141.71    | -1.0R      | 2025-06-26 
TR-10037 | 2025-06-23  | LONG  | $140.59    | +2.2R      | 2025-06-23 
TR-10038 | 2025-06-20  | SHORT | $143.99    | +2.2R      | 2025-06-20 
TR-10039 | 2025-06-15  | LONG  | $151.95    | -1.0R      | 2025-06-15 
TR-10040 | 2025-06-12  | SHORT | $159.46    | +2.2R      | 2025-06-12 
TR-10041 | 2025-06-08  | LONG  | $153.16    | -1.0R      | 2025-06-09 
TR-10042 | 2025-06-03  | LONG  | $159.85    | -1.0R      | 2025-06-03 
TR-10043 | 2025-05-13  | LONG  | $174.35    | +2.2R      | 2025-05-13 
TR-10044 | 2025-04-28  | LONG  | $151.59    | -1.0R      | 2025-04-28 
TR-10045 | 2025-04-02  | LONG  | $130.43    | -1.0R      | 2025-04-02 
TR-10046 | 2025-04-02  | SHORT | $117.42    | -1.0R      | 2025-04-04 
TR-10047 | 2025-04-01  | LONG  | $129.38    | -1.0R      | 2025-04-01 
TR-10048 | 2025-03-22  | LONG  | $130.71    | -1.0R      | 2025-03-22 
TR-10049 | 2025-03-19  | LONG  | $130.55    | -1.0R      | 2025-03-19 
TR-10050 | 2025-03-16  | SHORT | $129.31    | +2.2R      | 2025-03-16 
TR-10051 | 2025-02-14  | LONG  | $199.92    | -1.0R      | 2025-02-14 
TR-10052 | 2025-01-31  | SHORT | $230.52    | -1.0R      | 2025-02-01 
TR-10053 | 2025-01-30  | LONG  | $240.33    | -1.0R      | 2025-01-31 
TR-10054 | 2025-01-24  | LONG  | $261.31    | -1.0R      | 2025-01-24 
TR-10055 | 2025-01-13  | LONG  | $190.64    | -1.0R      | 2025-01-13 
TR-10056 | 2025-01-07  | SHORT | $211.64    | +2.2R      | 2025-01-07 
TR-10057 | 2025-01-06  | LONG  | $214.67    | +2.2R      | 2025-01-06 
TR-10058 | 2025-01-01  | LONG  | $194.69    | +2.2R      | 2025-01-02 
TR-10059 | 2024-12-28  | LONG  | $193.70    | +2.2R      | 2024-12-29 
TR-10060 | 2024-12-17  | LONG  | $223.61    | -1.0R      | 2024-12-17 
TR-10061 | 2024-12-13  | SHORT | $223.48    | -1.0R      | 2024-12-14 
TR-10062 | 2024-12-11  | LONG  | $228.38    | +2.2R      | 2024-12-12 
TR-10063 | 2024-12-05  | LONG  | $236.71    | -1.0R      | 2024-12-05 
TR-10064 | 2024-11-29  | LONG  | $241.98    | -1.0R      | 2024-11-29 
TR-10065 | 2024-11-24  | SHORT | $244.81    | -1.0R      | 2024-11-24 
TR-10066 | 2024-11-13  | LONG  | $218.97    | -1.0R      | 2024-11-13 
TR-10067 | 2024-11-05  | LONG  | $165.94    | -1.0R      | 2024-11-05 
TR-10068 | 2024-10-30  | SHORT | $175.83    | +2.2R      | 2024-10-31 
TR-10069 | 2024-10-18  | LONG  | $154.42    | +2.2R      | 2024-10-19 
TR-10070 | 2024-10-11  | LONG  | $143.00    | +2.2R      | 2024-10-11 
TR-10071 | 2024-09-30  | SHORT | $154.34    | -1.0R      | 2024-09-30 
TR-10072 | 2024-09-23  | SHORT | $143.72    | -1.0R      | 2024-09-24 
TR-10073 | 2024-09-19  | LONG  | $135.44    | +2.2R      | 2024-09-19 
TR-10074 | 2024-09-15  | SHORT | $135.76    | +2.2R      | 2024-09-15 
TR-10075 | 2024-09-11  | SHORT | $129.61    | -1.0R      | 2024-09-11 
TR-10076 | 2024-09-08  | LONG  | $129.64    | -1.0R      | 2024-09-08 
TR-10077 | 2024-09-03  | SHORT | $130.30    | -1.0R      | 2024-09-03 
TR-10078 | 2024-08-27  | SHORT | $153.62    | -1.0R      | 2024-08-27 
TR-10079 | 2024-08-11  | SHORT | $151.54    | +2.2R      | 2024-08-11 
TR-10080 | 2024-07-24  | LONG  | $180.91    | -1.0R      | 2024-07-24 
TR-10081 | 2024-07-23  | SHORT | $171.57    | -1.0R      | 2024-07-24 
TR-10082 | 2024-07-13  | LONG  | $140.62    | -1.0R      | 2024-07-13 
TR-10083 | 2024-07-08  | LONG  | $138.27    | +2.2R      | 2024-07-10 
TR-10084 | 2024-07-07  | SHORT | $133.05    | +2.2R      | 2024-07-08 
TR-10085 | 2024-07-06  | LONG  | $139.91    | +2.2R      | 2024-07-06 
TR-10086 | 2024-07-03  | SHORT | $141.52    | -1.0R      | 2024-07-03 
TR-10087 | 2024-06-25  | LONG  | $136.38    | +2.2R      | 2024-06-27 
TR-10088 | 2024-06-17  | SHORT | $143.30    | -1.0R      | 2024-06-17 
TR-10089 | 2024-06-16  | LONG  | $147.93    | +2.2R      | 2024-06-16 
TR-10090 | 2024-06-07  | SHORT | $170.15    | +2.2R      | 2024-06-07 
TR-10091 | 2024-05-30  | SHORT | $165.00    | -1.0R      | 2024-05-30 
TR-10092 | 2024-05-15  | LONG  | $150.94    | +2.2R      | 2024-05-15 
TR-10093 | 2024-05-14  | SHORT | $142.92    | -1.0R      | 2024-05-15 
TR-10094 | 2024-05-13  | LONG  | $147.48    | -1.0R      | 2024-05-14 
TR-10095 | 2024-04-24  | SHORT | $149.83    | +2.2R      | 2024-04-25 
