ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-20,SHORT,91177.98,+2.2R,2026-01-20
TR-10001,2025-12-30,LONG,88226.16,+2.2R,2026-01-02
TR-10002,2025-12-29,LONG,90123.55,-1.0R,2025-12-29
TR-10003,2025-12-23,SHORT,87574.79,-1.0R,2025-12-26
TR-10004,2025-12-22,LONG,89945.43,-1.0R,2025-12-22
TR-10005,2025-12-03,LONG,92999.99,-1.0R,2025-12-05
TR-10006,2025-12-01,SHORT,86149.15,+2.2R,2025-12-01
TR-10007,2025-10-30,SHORT,107711.56,-1.0R,2025-10-31
TR-10008,2025-10-10,SHORT,112774.50,+2.2R,2025-10-17
TR-10009,2025-09-30,LONG,113055.01,+2.2R,2025-10-01
TR-10010,2025-09-22,SHORT,112519.99,-1.0R,2025-09-22
TR-10011,2025-08-08,LONG,116737.35,+2.2R,2025-08-10
TR-10012,2025-07-31,SHORT,116785.79,+2.2R,2025-08-01
