TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: ETH
Timeframe: 1h
Period: 6M
Generated: 2026-01-27T17:25:17.982370Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 28
Win Rate: 39.3%
Total Net Profit: +7.2 R
Wins: 11 | Losses: 17

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-19  | SHORT | $3206.86   | +2.2R      | 2026-01-20 
TR-10001 | 2026-01-11  | LONG  | $3125.46   | -1.0R      | 2026-01-11 
TR-10002 | 2025-12-15  | LONG  | $3159.67   | -1.0R      | 2025-12-15 
TR-10003 | 2025-12-12  | SHORT | $3071.41   | -1.0R      | 2025-12-13 
TR-10004 | 2025-12-05  | SHORT | $3007.53   | -1.0R      | 2025-12-06 
TR-10005 | 2025-12-01  | SHORT | $2836.40   | +2.2R      | 2025-12-01 
TR-10006 | 2025-11-30  | LONG  | $3037.84   | -1.0R      | 2025-11-30 
TR-10007 | 2025-11-23  | LONG  | $2835.42   | -1.0R      | 2025-11-23 
TR-10008 | 2025-11-13  | LONG  | $3501.15   | -1.0R      | 2025-11-13 
TR-10009 | 2025-10-28  | SHORT | $3979.28   | +2.2R      | 2025-10-29 
TR-10010 | 2025-10-24  | LONG  | $3974.36   | -1.0R      | 2025-10-24 
TR-10011 | 2025-10-21  | SHORT | $3863.78   | -1.0R      | 2025-10-21 
TR-10012 | 2025-10-21  | LONG  | $4014.63   | -1.0R      | 2025-10-21 
TR-10013 | 2025-10-15  | SHORT | $3980.97   | -1.0R      | 2025-10-16 
TR-10014 | 2025-10-14  | SHORT | $3971.85   | -1.0R      | 2025-10-14 
TR-10015 | 2025-10-12  | LONG  | $4136.24   | -1.0R      | 2025-10-13 
TR-10016 | 2025-09-15  | SHORT | $4510.62   | +2.2R      | 2025-09-16 
TR-10017 | 2025-09-10  | LONG  | $4332.41   | +2.2R      | 2025-09-10 
TR-10018 | 2025-09-08  | LONG  | $4320.46   | +2.2R      | 2025-09-08 
TR-10019 | 2025-09-05  | LONG  | $4471.12   | -1.0R      | 2025-09-05 
TR-10020 | 2025-09-05  | SHORT | $4283.39   | -1.0R      | 2025-09-08 
TR-10021 | 2025-09-04  | SHORT | $4305.33   | -1.0R      | 2025-09-05 
TR-10022 | 2025-09-01  | SHORT | $4392.83   | +2.2R      | 2025-09-01 
TR-10023 | 2025-08-28  | SHORT | $4504.01   | +2.2R      | 2025-08-29 
TR-10024 | 2025-08-18  | SHORT | $4396.36   | +2.2R      | 2025-08-18 
TR-10025 | 2025-08-15  | SHORT | $4493.22   | +2.2R      | 2025-08-15 
TR-10026 | 2025-08-06  | LONG  | $3638.51   | -1.0R      | 2025-08-06 
TR-10027 | 2025-07-31  | SHORT | $3737.72   | +2.2R      | 2025-08-01 

[Cryptographically Signed by TraderCopilot Audit Engine]
Hash: S0UF73-IIS03R
