ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,117.96,+0.0R,2026-01-27
TR-10001,2026-01-25,LONG,118.85,+0.0R,2026-01-27
TR-10002,2026-01-19,LONG,133.94,-1.0R,2026-01-20
TR-10003,2026-01-19,LONG,133.47,-1.0R,2026-01-20
TR-10004,2026-01-02,SHORT,132.29,-1.0R,2026-01-05
TR-10005,2025-12-29,SHORT,128.58,+2.2R,2025-12-29
TR-10006,2025-12-15,LONG,125.02,+2.2R,2025-12-17
TR-10007,2025-12-01,LONG,126.97,-1.0R,2025-12-01
TR-10008,2025-11-24,SHORT,137.24,-1.0R,2025-11-26
TR-10009,2025-11-03,LONG,177.57,-1.0R,2025-11-03
TR-10010,2025-11-03,LONG,176.50,-1.0R,2025-11-03
TR-10011,2025-11-03,LONG,166.79,-1.0R,2025-11-04
TR-10012,2025-10-30,LONG,185.02,-1.0R,2025-11-03
TR-10013,2025-10-30,LONG,179.06,-1.0R,2025-11-03
TR-10014,2025-10-27,SHORT,204.33,+2.2R,2025-10-28
TR-10015,2025-10-11,LONG,184.85,-1.0R,2025-11-03
TR-10016,2025-10-10,LONG,188.43,-1.0R,2025-10-11
TR-10017,2025-09-22,LONG,221.88,-1.0R,2025-09-23
TR-10018,2025-09-22,LONG,221.49,-1.0R,2025-09-23
TR-10019,2025-09-08,SHORT,214.28,-1.0R,2025-09-09
TR-10020,2025-09-08,SHORT,215.04,-1.0R,2025-09-09
TR-10021,2025-08-22,SHORT,198.97,-1.0R,2025-08-23
TR-10022,2025-07-21,SHORT,186.71,-1.0R,2025-07-21
TR-10023,2025-07-21,SHORT,190.07,-1.0R,2025-07-21
TR-10024,2025-07-21,SHORT,191.40,-1.0R,2025-07-21
TR-10025,2025-07-21,SHORT,196.79,-1.0R,2025-07-22
TR-10026,2025-06-13,LONG,144.76,-1.0R,2025-06-20
TR-10027,2025-06-09,SHORT,161.16,-1.0R,2025-06-10
TR-10028,2025-05-08,SHORT,154.57,-1.0R,2025-05-08
TR-10029,2025-05-08,SHORT,160.24,-1.0R,2025-05-09
TR-10030,2025-04-22,SHORT,148.79,-1.0R,2025-04-25
TR-10031,2025-04-07,LONG,103.27,-1.0R,2025-04-07
TR-10032,2025-04-07,LONG,97.14,+2.2R,2025-04-09
TR-10033,2025-04-06,LONG,105.91,-1.0R,2025-04-07
TR-10034,2025-03-24,SHORT,138.16,-1.0R,2025-03-24
TR-10035,2025-03-24,SHORT,138.88,-1.0R,2025-03-24
TR-10036,2025-03-24,SHORT,143.41,-1.0R,2025-03-25
TR-10037,2025-03-02,SHORT,172.18,+2.2R,2025-03-03
TR-10038,2025-03-02,SHORT,178.71,+2.2R,2025-03-03
TR-10039,2025-02-28,LONG,127.62,+2.2R,2025-02-28
TR-10040,2025-02-24,LONG,152.66,-1.0R,2025-02-24
TR-10041,2025-02-24,LONG,141.81,-1.0R,2025-02-25
TR-10042,2025-02-18,LONG,165.72,-1.0R,2025-02-24
TR-10043,2025-02-17,LONG,181.35,-1.0R,2025-02-17
TR-10044,2025-02-02,LONG,207.11,-1.0R,2025-02-02
TR-10045,2025-02-01,LONG,213.03,-1.0R,2025-02-02
TR-10046,2025-01-27,LONG,235.80,-1.0R,2025-01-27
TR-10047,2025-01-27,LONG,227.53,-1.0R,2025-02-01
TR-10048,2025-01-18,SHORT,257.75,-1.0R,2025-01-19
TR-10049,2025-01-15,SHORT,201.90,-1.0R,2025-01-16
TR-10050,2025-01-15,SHORT,205.86,-1.0R,2025-01-16
TR-10051,2025-01-13,LONG,175.41,-1.0R,2025-01-13
TR-10052,2025-01-08,LONG,198.67,-1.0R,2025-01-08
TR-10053,2025-01-02,SHORT,208.51,-1.0R,2025-01-03
TR-10054,2024-12-20,LONG,176.01,+2.2R,2025-01-02
TR-10055,2024-12-19,LONG,191.88,-1.0R,2024-12-20
TR-10056,2024-12-09,LONG,216.63,-1.0R,2024-12-10
TR-10057,2024-12-02,LONG,228.47,-1.0R,2024-12-02
TR-10058,2024-11-25,LONG,234.18,-1.0R,2024-11-26
TR-10059,2024-11-17,SHORT,237.23,-1.0R,2024-11-18
TR-10060,2024-11-06,SHORT,184.94,-1.0R,2024-11-07
TR-10061,2024-11-06,SHORT,183.83,-1.0R,2024-11-07
TR-10062,2024-10-21,SHORT,169.51,-1.0R,2024-10-23
TR-10063,2024-10-20,SHORT,167.40,-1.0R,2024-10-21
TR-10064,2024-10-14,SHORT,152.51,-1.0R,2024-10-14
TR-10065,2024-10-14,SHORT,156.71,-1.0R,2024-10-20
TR-10066,2024-09-24,SHORT,152.73,-1.0R,2024-09-27
TR-10067,2024-09-19,SHORT,142.96,-1.0R,2024-09-20
TR-10068,2024-08-28,LONG,143.97,-1.0R,2024-08-29
TR-10069,2024-08-27,LONG,146.79,-1.0R,2024-08-28
TR-10070,2024-08-23,SHORT,149.70,-1.0R,2024-08-23
TR-10071,2024-08-23,SHORT,153.26,-1.0R,2024-08-24
TR-10072,2024-06-24,LONG,126.23,-1.0R,2024-06-24
TR-10073,2024-06-24,LONG,125.20,-1.0R,2024-06-24
TR-10074,2024-06-11,LONG,147.67,+2.2R,2024-06-12
TR-10075,2024-06-07,LONG,162.01,-1.0R,2024-06-09
TR-10076,2024-06-07,LONG,162.50,-1.0R,2024-06-08
TR-10077,2024-06-05,SHORT,172.97,+2.2R,2024-06-07
TR-10078,2024-05-20,SHORT,187.25,+2.2R,2024-05-23
TR-10079,2024-05-16,SHORT,163.11,-1.0R,2024-05-17
TR-10080,2024-05-15,SHORT,158.52,-1.0R,2024-05-16
TR-10081,2024-04-30,LONG,123.04,+2.2R,2024-05-02
TR-10082,2024-04-12,LONG,149.26,-1.0R,2024-04-13
TR-10083,2024-04-05,LONG,169.76,+2.2R,2024-04-08
TR-10084,2024-03-25,SHORT,192.78,-1.0R,2024-03-31
TR-10085,2024-03-24,SHORT,183.88,-1.0R,2024-03-25
TR-10086,2024-03-13,SHORT,161.44,-1.0R,2024-03-14
TR-10087,2024-03-05,SHORT,139.18,+2.2R,2024-03-05
TR-10088,2024-02-29,SHORT,123.52,-1.0R,2024-02-29
TR-10089,2024-02-26,SHORT,109.69,-1.0R,2024-02-28
