ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,1.82,+2.2R,2026-01-26
TR-10001,2026-01-19,LONG,1.97,-1.0R,2026-01-20
TR-10002,2026-01-19,LONG,1.96,-1.0R,2026-01-20
TR-10003,2026-01-05,SHORT,2.28,-1.0R,2026-01-05
TR-10004,2026-01-05,SHORT,2.35,+2.2R,2026-01-08
TR-10005,2026-01-03,SHORT,2.04,-1.0R,2026-01-04
TR-10006,2026-01-02,SHORT,1.99,-1.0R,2026-01-03
TR-10007,2026-01-02,SHORT,2.01,-1.0R,2026-01-03
TR-10008,2025-12-29,SHORT,1.92,+2.2R,2025-12-29
TR-10009,2025-12-15,LONG,1.93,-1.0R,2025-12-15
TR-10010,2025-12-15,LONG,1.90,-1.0R,2025-12-16
TR-10011,2025-12-01,LONG,2.05,-1.0R,2025-12-01
TR-10012,2025-12-01,LONG,2.06,-1.0R,2025-12-01
TR-10013,2025-11-24,SHORT,2.23,+2.2R,2025-12-01
TR-10014,2025-11-19,LONG,2.04,-1.0R,2025-11-21
TR-10015,2025-11-03,LONG,2.33,-1.0R,2025-11-04
TR-10016,2025-10-30,LONG,2.45,-1.0R,2025-11-03
TR-10017,2025-10-30,LONG,2.39,-1.0R,2025-11-03
TR-10018,2025-10-29,LONG,2.55,-1.0R,2025-10-30
TR-10019,2025-10-11,LONG,2.40,-1.0R,2025-11-04
TR-10020,2025-10-10,LONG,2.68,-1.0R,2025-10-10
TR-10021,2025-10-10,LONG,2.37,-1.0R,2025-11-04
TR-10022,2025-10-07,LONG,2.88,-1.0R,2025-10-09
TR-10023,2025-10-07,LONG,2.86,-1.0R,2025-10-09
TR-10024,2025-10-02,SHORT,3.09,+2.2R,2025-10-07
TR-10025,2025-09-28,SHORT,2.87,-1.0R,2025-09-29
TR-10026,2025-09-22,LONG,2.90,-1.0R,2025-09-22
TR-10027,2025-09-22,LONG,2.81,+2.2R,2025-09-24
TR-10028,2025-09-22,LONG,2.82,+2.2R,2025-09-24
TR-10029,2025-09-18,SHORT,3.11,+2.2R,2025-09-19
TR-10030,2025-09-08,SHORT,2.99,-1.0R,2025-09-11
TR-10031,2025-08-25,LONG,2.88,+2.2R,2025-08-26
TR-10032,2025-08-08,SHORT,3.38,+2.2R,2025-08-14
TR-10033,2025-08-07,SHORT,3.32,+2.2R,2025-08-14
TR-10034,2025-07-23,LONG,3.32,-1.0R,2025-07-23
TR-10035,2025-07-23,LONG,3.18,-1.0R,2025-07-23
TR-10036,2025-07-23,LONG,3.18,-1.0R,2025-07-24
TR-10037,2025-07-18,SHORT,3.61,+2.2R,2025-07-23
TR-10038,2025-07-17,SHORT,3.26,-1.0R,2025-07-17
TR-10039,2025-07-17,SHORT,3.48,-1.0R,2025-07-18
TR-10040,2025-07-11,SHORT,2.77,-1.0R,2025-07-13
TR-10041,2025-07-11,SHORT,2.86,-1.0R,2025-07-14
TR-10042,2025-07-09,SHORT,2.42,-1.0R,2025-07-10
TR-10043,2025-07-07,SHORT,2.34,-1.0R,2025-07-09
TR-10044,2025-06-30,SHORT,2.32,+2.2R,2025-07-01
TR-10045,2025-06-22,LONG,1.93,+2.2R,2025-06-23
TR-10046,2025-06-21,LONG,2.06,-1.0R,2025-06-22
TR-10047,2025-06-16,SHORT,2.25,-1.0R,2025-06-16
TR-10048,2025-06-16,SHORT,2.29,-1.0R,2025-06-16
TR-10049,2025-06-16,SHORT,2.34,+2.2R,2025-06-17
TR-10050,2025-06-13,LONG,2.13,+2.2R,2025-06-16
TR-10051,2025-06-05,LONG,2.09,+2.2R,2025-06-08
TR-10052,2025-06-03,SHORT,2.26,+2.2R,2025-06-05
TR-10053,2025-06-03,SHORT,2.28,+2.2R,2025-06-05
TR-10054,2025-05-28,LONG,2.25,-1.0R,2025-05-30
TR-10055,2025-05-28,LONG,2.23,+2.2R,2025-05-29
TR-10056,2025-05-08,SHORT,2.24,-1.0R,2025-05-08
TR-10057,2025-05-08,SHORT,2.27,-1.0R,2025-05-09
