ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,858.86,+0.0R,2026-01-27
TR-10001,2026-01-14,SHORT,950.13,+2.2R,2026-01-19
TR-10002,2026-01-13,SHORT,941.50,-1.0R,2026-01-17
TR-10003,2026-01-13,SHORT,943.73,-1.0R,2026-01-17
TR-10004,2025-12-15,LONG,849.95,-1.0R,2025-12-18
TR-10005,2025-12-01,LONG,829.40,-1.0R,2025-12-01
TR-10006,2025-12-01,LONG,832.43,-1.0R,2025-12-01
TR-10007,2025-11-26,SHORT,896.55,+2.2R,2025-12-01
TR-10008,2025-11-21,LONG,832.03,-1.0R,2025-11-21
TR-10009,2025-11-21,LONG,809.08,+2.2R,2025-11-26
TR-10010,2025-11-13,LONG,913.54,-1.0R,2025-11-18
TR-10011,2025-11-03,LONG,1043.70,-1.0R,2025-11-03
TR-10012,2025-11-03,LONG,1028.85,-1.0R,2025-11-03
TR-10013,2025-11-03,LONG,1015.95,-1.0R,2025-11-03
TR-10014,2025-11-03,LONG,980.28,-1.0R,2025-11-04
TR-10015,2025-10-30,LONG,1061.76,-1.0R,2025-11-03
TR-10016,2025-10-27,SHORT,1179.70,+2.2R,2025-10-28
TR-10017,2025-10-17,LONG,1062.67,+2.2R,2025-10-27
TR-10018,2025-10-10,LONG,1102.47,+2.2R,2025-10-12
TR-10019,2025-10-07,SHORT,1313.15,+2.2R,2025-10-10
TR-10020,2025-10-03,SHORT,1108.00,-1.0R,2025-10-03
TR-10021,2025-10-03,SHORT,1165.30,-1.0R,2025-10-06
TR-10022,2025-10-02,SHORT,1073.81,-1.0R,2025-10-02
TR-10023,2025-10-02,SHORT,1090.22,-1.0R,2025-10-03
TR-10024,2025-09-25,LONG,945.90,+2.2R,2025-09-29
TR-10025,2025-09-21,SHORT,1069.46,+2.2R,2025-09-22
TR-10026,2025-09-20,SHORT,1043.77,-1.0R,2025-09-21
TR-10027,2025-09-17,SHORT,989.98,-1.0R,2025-09-20
TR-10028,2025-09-10,SHORT,895.50,-1.0R,2025-09-12
