TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: BNB
Timeframe: 4h
Period: 6M
Generated: 2026-01-27T17:34:31.196106Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 53
Win Rate: 28.3%
Total Net Profit: -5.0 R
Wins: 15 | Losses: 38

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-20  | LONG  | $912.68    | -1.0R      | 2026-01-20 
TR-10001 | 2026-01-20  | LONG  | $905.33    | -1.0R      | 2026-01-20 
TR-10002 | 2026-01-14  | SHORT | $937.45    | -1.0R      | 2026-01-17 
TR-10003 | 2026-01-05  | SHORT | $906.46    | -1.0R      | 2026-01-06 
TR-10004 | 2026-01-05  | SHORT | $911.12    | -1.0R      | 2026-01-06 
TR-10005 | 2026-01-05  | SHORT | $910.31    | -1.0R      | 2026-01-06 
TR-10006 | 2026-01-04  | SHORT | $884.66    | -1.0R      | 2026-01-04 
TR-10007 | 2026-01-04  | SHORT | $892.53    | -1.0R      | 2026-01-05 
TR-10008 | 2026-01-04  | SHORT | $895.43    | -1.0R      | 2026-01-05 
TR-10009 | 2026-01-01  | SHORT | $869.16    | -1.0R      | 2026-01-02 
TR-10010 | 2025-12-29  | SHORT | $860.58    | +2.2R      | 2025-12-29 
TR-10011 | 2025-12-28  | SHORT | $859.32    | -1.0R      | 2025-12-29 
TR-10012 | 2025-12-16  | LONG  | $855.45    | -1.0R      | 2025-12-17 
TR-10013 | 2025-12-16  | LONG  | $859.57    | -1.0R      | 2025-12-17 
TR-10014 | 2025-12-15  | LONG  | $858.60    | -1.0R      | 2025-12-17 
TR-10015 | 2025-12-01  | LONG  | $814.70    | +2.2R      | 2025-12-02 
TR-10016 | 2025-11-24  | SHORT | $864.92    | -1.0R      | 2025-11-26 
TR-10017 | 2025-11-21  | LONG  | $863.36    | -1.0R      | 2025-11-21 
TR-10018 | 2025-11-04  | LONG  | $958.00    | -1.0R      | 2025-11-04 
TR-10019 | 2025-11-04  | LONG  | $919.52    | +2.2R      | 2025-11-07 
TR-10020 | 2025-11-04  | LONG  | $936.77    | +2.2R      | 2025-11-08 
TR-10021 | 2025-11-03  | LONG  | $993.54    | -1.0R      | 2025-11-04 
TR-10022 | 2025-10-29  | LONG  | $1107.24   | -1.0R      | 2025-10-30 
TR-10023 | 2025-10-26  | SHORT | $1138.19   | -1.0R      | 2025-10-27 
TR-10024 | 2025-10-24  | SHORT | $1125.25   | -1.0R      | 2025-10-27 
TR-10025 | 2025-10-17  | LONG  | $1074.01   | +2.2R      | 2025-10-23 
TR-10026 | 2025-10-13  | SHORT | $1294.20   | +2.2R      | 2025-10-14 
TR-10027 | 2025-10-08  | SHORT | $1276.22   | +2.2R      | 2025-10-10 
TR-10028 | 2025-10-07  | SHORT | $1280.97   | -1.0R      | 2025-10-08 
TR-10029 | 2025-10-07  | SHORT | $1304.43   | +2.2R      | 2025-10-09 
TR-10030 | 2025-10-03  | SHORT | $1086.24   | -1.0R      | 2025-10-03 
TR-10031 | 2025-10-03  | SHORT | $1106.39   | -1.0R      | 2025-10-03 
TR-10032 | 2025-09-30  | SHORT | $1023.20   | +2.2R      | 2025-09-30 
TR-10033 | 2025-09-29  | SHORT | $1011.08   | -1.0R      | 2025-09-29 
TR-10034 | 2025-09-26  | LONG  | $949.46    | +2.2R      | 2025-09-28 
TR-10035 | 2025-09-26  | LONG  | $937.29    | +2.2R      | 2025-09-27 
TR-10036 | 2025-09-21  | SHORT | $1051.11   | +2.2R      | 2025-09-22 
TR-10037 | 2025-09-18  | SHORT | $991.71    | -1.0R      | 2025-09-20 
TR-10038 | 2025-09-13  | SHORT | $936.59    | +2.2R      | 2025-09-15 
TR-10039 | 2025-09-12  | SHORT | $904.70    | -1.0R      | 2025-09-12 
TR-10040 | 2025-09-12  | SHORT | $903.45    | -1.0R      | 2025-09-12 
TR-10041 | 2025-09-11  | SHORT | $899.07    | -1.0R      | 2025-09-12 
TR-10042 | 2025-09-08  | SHORT | $882.14    | -1.0R      | 2025-09-10 
TR-10043 | 2025-09-07  | SHORT | $874.68    | -1.0R      | 2025-09-07 
TR-10044 | 2025-09-07  | SHORT | $880.05    | -1.0R      | 2025-09-10 
TR-10045 | 2025-09-06  | SHORT | $859.51    | -1.0R      | 2025-09-07 
TR-10046 | 2025-08-09  | SHORT | $806.47    | -1.0R      | 2025-08-11 
TR-10047 | 2025-08-08  | SHORT | $786.48    | -1.0R      | 2025-08-09 
TR-10048 | 2025-08-02  | LONG  | $758.93    | -1.0R      | 2025-08-02 
TR-10049 | 2025-08-02  | LONG  | $743.22    | +2.2R      | 2025-08-07 
TR-10050 | 2025-08-02  | LONG  | $737.31    | +2.2R      | 2025-08-04 
TR-10051 | 2025-08-01  | LONG  | $773.60    | -1.0R      | 2025-08-01 
TR-10052 | 2025-08-01  | LONG  | $771.55    | -1.0R      | 2025-08-01 

[Cryptographically Signed by TraderCopilot Audit Engine]
Hash: UPIUH8-V0EUSS
