ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,2929.08,-1.0R,2026-01-25
TR-10001,2026-01-25,LONG,2896.98,-1.0R,2026-01-25
TR-10002,2026-01-25,LONG,2884.41,-1.0R,2026-01-25
TR-10003,2026-01-25,LONG,2848.19,-1.0R,2026-01-25
TR-10004,2026-01-25,LONG,2812.96,+2.2R,2026-01-26
TR-10005,2026-01-20,LONG,3116.91,-1.0R,2026-01-20
TR-10006,2026-01-19,LONG,3212.13,-1.0R,2026-01-19
TR-10007,2026-01-19,LONG,3206.86,-1.0R,2026-01-19
TR-10008,2026-01-18,SHORT,3361.85,+2.2R,2026-01-18
TR-10009,2026-01-17,SHORT,3329.95,+2.2R,2026-01-17
TR-10010,2026-01-13,SHORT,3184.41,-1.0R,2026-01-13
TR-10011,2026-01-13,SHORT,3331.18,-1.0R,2026-01-14
TR-10012,2026-01-11,SHORT,3125.46,-1.0R,2026-01-11
TR-10013,2026-01-06,SHORT,3278.09,+2.2R,2026-01-06
TR-10014,2026-01-05,SHORT,3197.91,+2.2R,2026-01-05
TR-10015,2026-01-05,SHORT,3193.07,+2.2R,2026-01-05
TR-10016,2026-01-04,SHORT,3157.75,-1.0R,2026-01-05
TR-10017,2026-01-02,SHORT,3022.53,-1.0R,2026-01-02
TR-10018,2026-01-02,SHORT,3132.22,-1.0R,2026-01-05
TR-10019,2025-12-30,SHORT,2977.60,-1.0R,2025-12-30
TR-10020,2025-12-30,SHORT,2985.45,-1.0R,2025-12-31
TR-10021,2025-12-29,SHORT,2980.95,-1.0R,2025-12-29
TR-10022,2025-12-29,SHORT,3003.90,-1.0R,2025-12-29
TR-10023,2025-12-29,SHORT,3043.75,+2.2R,2025-12-29
TR-10024,2025-12-21,LONG,2967.53,+2.2R,2025-12-21
TR-10025,2025-12-18,SHORT,2964.10,-1.0R,2025-12-18
TR-10026,2025-12-18,SHORT,2950.44,-1.0R,2025-12-18
TR-10027,2025-12-15,LONG,2937.19,-1.0R,2025-12-16
TR-10028,2025-12-14,LONG,3084.84,-1.0R,2025-12-14
TR-10029,2025-12-12,LONG,3071.41,-1.0R,2025-12-14
TR-10030,2025-12-12,LONG,3069.46,-1.0R,2025-12-15
TR-10031,2025-12-11,LONG,3191.42,-1.0R,2025-12-12
TR-10032,2025-12-09,SHORT,3245.88,-1.0R,2025-12-09
TR-10033,2025-12-09,SHORT,3366.02,-1.0R,2025-12-10
TR-10034,2025-12-09,SHORT,3375.23,-1.0R,2025-12-10
TR-10035,2025-12-07,LONG,2942.65,+2.2R,2025-12-07
TR-10036,2025-12-05,LONG,3032.78,-1.0R,2025-12-07
TR-10037,2025-12-02,SHORT,2894.98,-1.0R,2025-12-02
TR-10038,2025-12-02,SHORT,3006.61,-1.0R,2025-12-03
TR-10039,2025-12-02,SHORT,2995.58,-1.0R,2025-12-03
TR-10040,2025-12-01,LONG,2836.40,-1.0R,2025-12-01
TR-10041,2025-12-01,LONG,2850.86,-1.0R,2025-12-01
TR-10042,2025-11-30,SHORT,3048.99,+2.2R,2025-11-30
TR-10043,2025-11-26,SHORT,3034.22,-1.0R,2025-11-28
TR-10044,2025-11-24,SHORT,2957.53,-1.0R,2025-11-26
TR-10045,2025-11-20,LONG,2862.68,-1.0R,2025-11-20
TR-10046,2025-11-20,LONG,2833.66,-1.0R,2025-11-21
TR-10047,2025-11-20,LONG,2813.66,-1.0R,2025-11-21
TR-10048,2025-11-19,LONG,2950.19,-1.0R,2025-11-19
TR-10049,2025-11-18,SHORT,3152.18,+2.2R,2025-11-19
TR-10050,2025-11-17,LONG,3024.98,-1.0R,2025-11-18
TR-10051,2025-11-17,LONG,2982.27,+2.2R,2025-11-18
TR-10052,2025-11-16,LONG,3061.60,-1.0R,2025-11-16
TR-10053,2025-11-13,LONG,3255.50,-1.0R,2025-11-13
TR-10054,2025-11-13,LONG,3213.72,-1.0R,2025-11-14
TR-10055,2025-11-12,SHORT,3549.38,+2.2R,2025-11-12
TR-10056,2025-11-10,LONG,3541.62,+2.2R,2025-11-11
TR-10057,2025-11-10,LONG,3519.46,+2.2R,2025-11-11
TR-10058,2025-11-09,SHORT,3507.02,-1.0R,2025-11-09
TR-10059,2025-11-09,SHORT,3515.51,-1.0R,2025-11-09
