TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: ETH
Timeframe: 4h
Period: 6M
Generated: 2026-01-27T17:34:02.545603Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 52
Win Rate: 51.9%
Total Net Profit: +34.4 R
Wins: 27 | Losses: 25

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-26  | LONG  | $2850.68   | +2.2R      | 2026-01-26 
TR-10001 | 2026-01-21  | LONG  | $2981.76   | -1.0R      | 2026-01-21 
TR-10002 | 2026-01-19  | LONG  | $3189.55   | -1.0R      | 2026-01-20 
TR-10003 | 2026-01-14  | SHORT | $3367.42   | +2.2R      | 2026-01-19 
TR-10004 | 2026-01-12  | SHORT | $3135.34   | +2.2R      | 2026-01-12 
TR-10005 | 2026-01-06  | SHORT | $3225.10   | -1.0R      | 2026-01-06 
TR-10006 | 2026-01-06  | SHORT | $3219.24   | -1.0R      | 2026-01-06 
TR-10007 | 2026-01-05  | SHORT | $3195.57   | -1.0R      | 2026-01-05 
TR-10008 | 2026-01-03  | SHORT | $3125.56   | -1.0R      | 2026-01-05 
TR-10009 | 2025-12-17  | LONG  | $2820.28   | +2.2R      | 2025-12-18 
TR-10010 | 2025-12-10  | SHORT | $3390.71   | +2.2R      | 2025-12-11 
TR-10011 | 2025-12-10  | SHORT | $3324.14   | +2.2R      | 2025-12-11 
TR-10012 | 2025-12-07  | LONG  | $3027.01   | +2.2R      | 2025-12-07 
TR-10013 | 2025-11-28  | SHORT | $3073.77   | +2.2R      | 2025-11-29 
TR-10014 | 2025-11-21  | LONG  | $2705.32   | +2.2R      | 2025-11-24 
TR-10015 | 2025-11-05  | LONG  | $3334.83   | +2.2R      | 2025-11-09 
TR-10016 | 2025-11-04  | LONG  | $3642.29   | -1.0R      | 2025-11-04 
TR-10017 | 2025-11-04  | LONG  | $3529.52   | -1.0R      | 2025-11-04 
TR-10018 | 2025-11-04  | LONG  | $3287.05   | +2.2R      | 2025-11-09 
TR-10019 | 2025-11-03  | LONG  | $3603.83   | -1.0R      | 2025-11-04 
TR-10020 | 2025-10-30  | LONG  | $3940.42   | -1.0R      | 2025-10-30 
TR-10021 | 2025-10-30  | LONG  | $3805.09   | -1.0R      | 2025-11-03 
TR-10022 | 2025-10-29  | LONG  | $3902.99   | -1.0R      | 2025-10-30 
TR-10023 | 2025-10-20  | SHORT | $4026.90   | +2.2R      | 2025-10-21 
TR-10024 | 2025-10-20  | SHORT | $4055.03   | +2.2R      | 2025-10-21 
TR-10025 | 2025-10-19  | SHORT | $3985.75   | +2.2R      | 2025-10-21 
TR-10026 | 2025-10-19  | SHORT | $3982.58   | -1.0R      | 2025-10-20 
TR-10027 | 2025-10-17  | LONG  | $3778.54   | +2.2R      | 2025-10-19 
TR-10028 | 2025-10-17  | LONG  | $3797.75   | +2.2R      | 2025-10-19 
TR-10029 | 2025-10-09  | LONG  | $4373.05   | -1.0R      | 2025-10-10 
TR-10030 | 2025-10-06  | SHORT | $4684.01   | +2.2R      | 2025-10-07 
TR-10031 | 2025-10-03  | SHORT | $4500.59   | -1.0R      | 2025-10-05 
TR-10032 | 2025-10-01  | SHORT | $4348.03   | -1.0R      | 2025-10-02 
TR-10033 | 2025-09-30  | SHORT | $4198.68   | -1.0R      | 2025-10-01 
TR-10034 | 2025-09-26  | LONG  | $3965.32   | +2.2R      | 2025-09-28 
TR-10035 | 2025-09-16  | LONG  | $4468.20   | +2.2R      | 2025-09-17 
TR-10036 | 2025-09-15  | LONG  | $4500.01   | +2.2R      | 2025-09-18 
TR-10037 | 2025-09-15  | LONG  | $4493.41   | +2.2R      | 2025-09-17 
TR-10038 | 2025-09-13  | SHORT | $4711.70   | +2.2R      | 2025-09-15 
TR-10039 | 2025-09-12  | SHORT | $4541.98   | -1.0R      | 2025-09-12 
TR-10040 | 2025-09-11  | SHORT | $4458.82   | -1.0R      | 2025-09-12 
TR-10041 | 2025-09-02  | LONG  | $4274.41   | +2.2R      | 2025-09-03 
TR-10042 | 2025-08-19  | LONG  | $4142.00   | +2.2R      | 2025-08-20 
TR-10043 | 2025-08-19  | LONG  | $4075.59   | +2.2R      | 2025-08-20 
TR-10044 | 2025-08-13  | SHORT | $4625.59   | -1.0R      | 2025-08-13 
TR-10045 | 2025-08-13  | SHORT | $4690.33   | +2.2R      | 2025-08-14 
TR-10046 | 2025-08-13  | SHORT | $4664.38   | +2.2R      | 2025-08-15 
TR-10047 | 2025-08-09  | SHORT | $4170.64   | -1.0R      | 2025-08-09 
TR-10048 | 2025-08-09  | SHORT | $4190.00   | -1.0R      | 2025-08-09 
TR-10049 | 2025-08-05  | SHORT | $3651.94   | -1.0R      | 2025-08-07 
TR-10050 | 2025-08-02  | LONG  | $3528.79   | -1.0R      | 2025-08-02 
TR-10051 | 2025-08-02  | LONG  | $3519.16   | -1.0R      | 2025-08-02 

[Cryptographically Signed by TraderCopilot Audit Engine]
Hash: J48D62-1MD5F9
