ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,117.96,+0.0R,2026-01-27
TR-10001,2026-01-25,LONG,118.85,+0.0R,2026-01-27
TR-10002,2026-01-19,LONG,133.94,-1.0R,2026-01-20
TR-10003,2026-01-19,LONG,133.47,-1.0R,2026-01-20
TR-10004,2026-01-02,SHORT,132.29,-1.0R,2026-01-05
TR-10005,2025-12-29,SHORT,128.58,+2.2R,2025-12-29
TR-10006,2025-12-15,LONG,125.02,+2.2R,2025-12-17
TR-10007,2025-12-01,LONG,126.97,-1.0R,2025-12-01
TR-10008,2025-11-24,SHORT,137.24,-1.0R,2025-11-26
TR-10009,2025-11-03,LONG,177.57,-1.0R,2025-11-03
TR-10010,2025-11-03,LONG,176.50,-1.0R,2025-11-03
TR-10011,2025-11-03,LONG,166.79,-1.0R,2025-11-04
TR-10012,2025-10-30,LONG,185.02,-1.0R,2025-11-03
TR-10013,2025-10-30,LONG,179.06,-1.0R,2025-11-03
TR-10014,2025-10-27,SHORT,204.33,+2.2R,2025-10-28
TR-10015,2025-10-11,LONG,184.85,-1.0R,2025-11-03
TR-10016,2025-10-10,LONG,188.43,-1.0R,2025-10-11
TR-10017,2025-09-22,LONG,221.88,-1.0R,2025-09-23
TR-10018,2025-09-22,LONG,221.49,-1.0R,2025-09-23
TR-10019,2025-09-08,SHORT,214.28,-1.0R,2025-09-09
TR-10020,2025-09-08,SHORT,215.04,-1.0R,2025-09-09
TR-10021,2025-08-22,SHORT,198.97,-1.0R,2025-08-23
