TraderCopilot - Verified Performance Ledger
===========================================
Strategy: MeanReversion
Asset: XRP
Timeframe: 1h
Period: 6M
Generated: 2026-01-27T17:34:42.752487Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 156
Win Rate: 37.8%
Total Net Profit: +33.8 R
Wins: 59 | Losses: 97

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-26  | SHORT | $1.92      | -1.0R      | 2026-01-26 
TR-10001 | 2026-01-26  | SHORT | $1.93      | +2.2R      | 2026-01-26 
TR-10002 | 2026-01-26  | SHORT | $1.92      | +0.0R      | 2026-01-27 
TR-10003 | 2026-01-25  | LONG  | $1.89      | +2.2R      | 2026-01-25 
TR-10004 | 2026-01-25  | LONG  | $1.89      | -1.0R      | 2026-01-25 
TR-10005 | 2026-01-20  | LONG  | $1.95      | -1.0R      | 2026-01-20 
TR-10006 | 2026-01-20  | LONG  | $1.93      | -1.0R      | 2026-01-20 
TR-10007 | 2026-01-20  | LONG  | $1.89      | +2.2R      | 2026-01-21 
TR-10008 | 2026-01-19  | SHORT | $2.01      | +2.2R      | 2026-01-19 
TR-10009 | 2026-01-15  | LONG  | $2.10      | -1.0R      | 2026-01-15 
TR-10010 | 2026-01-14  | SHORT | $2.17      | +2.2R      | 2026-01-14 
TR-10011 | 2026-01-13  | SHORT | $2.09      | -1.0R      | 2026-01-13 
TR-10012 | 2026-01-13  | SHORT | $2.12      | -1.0R      | 2026-01-13 
TR-10013 | 2026-01-13  | SHORT | $2.17      | +2.2R      | 2026-01-15 
TR-10014 | 2026-01-08  | LONG  | $2.12      | -1.0R      | 2026-01-08 
TR-10015 | 2026-01-08  | LONG  | $2.10      | +2.2R      | 2026-01-08 
TR-10016 | 2026-01-08  | LONG  | $2.10      | +2.2R      | 2026-01-08 
TR-10017 | 2026-01-08  | LONG  | $2.09      | +2.2R      | 2026-01-08 
TR-10018 | 2026-01-08  | LONG  | $2.08      | +2.2R      | 2026-01-08 
TR-10019 | 2026-01-07  | LONG  | $2.19      | -1.0R      | 2026-01-07 
TR-10020 | 2026-01-07  | LONG  | $2.19      | -1.0R      | 2026-01-08 
TR-10021 | 2026-01-05  | SHORT | $2.34      | -1.0R      | 2026-01-06 
TR-10022 | 2026-01-05  | SHORT | $2.35      | -1.0R      | 2026-01-06 
TR-10023 | 2026-01-04  | SHORT | $2.07      | -1.0R      | 2026-01-04 
TR-10024 | 2026-01-04  | SHORT | $2.07      | -1.0R      | 2026-01-04 
TR-10025 | 2026-01-04  | SHORT | $2.08      | -1.0R      | 2026-01-04 
TR-10026 | 2026-01-04  | SHORT | $2.12      | +2.2R      | 2026-01-04 
TR-10027 | 2026-01-02  | SHORT | $1.89      | -1.0R      | 2026-01-02 
TR-10028 | 2026-01-02  | SHORT | $2.02      | -1.0R      | 2026-01-03 
TR-10029 | 2026-01-01  | SHORT | $1.87      | -1.0R      | 2026-01-02 
TR-10030 | 2025-12-31  | LONG  | $1.83      | +2.2R      | 2026-01-01 
TR-10031 | 2025-12-30  | SHORT | $1.88      | +2.2R      | 2025-12-31 
TR-10032 | 2025-12-28  | SHORT | $1.87      | +2.2R      | 2025-12-28 
TR-10033 | 2025-12-28  | SHORT | $1.87      | +2.2R      | 2025-12-28 
TR-10034 | 2025-12-24  | LONG  | $1.85      | +2.2R      | 2025-12-25 
TR-10035 | 2025-12-20  | SHORT | $1.93      | -1.0R      | 2025-12-20 
TR-10036 | 2025-12-14  | LONG  | $2.00      | -1.0R      | 2025-12-14 
TR-10037 | 2025-12-14  | LONG  | $2.00      | -1.0R      | 2025-12-14 
TR-10038 | 2025-12-14  | LONG  | $2.00      | -1.0R      | 2025-12-14 
TR-10039 | 2025-12-14  | LONG  | $1.99      | -1.0R      | 2025-12-14 
TR-10040 | 2025-12-14  | LONG  | $1.99      | -1.0R      | 2025-12-14 
TR-10041 | 2025-12-14  | LONG  | $1.98      | +2.2R      | 2025-12-15 
TR-10042 | 2025-12-11  | LONG  | $1.99      | +2.2R      | 2025-12-11 
