ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-25,LONG,1.82,+2.2R,2026-01-26
TR-10001,2026-01-19,LONG,1.97,-1.0R,2026-01-20
TR-10002,2026-01-19,LONG,1.96,-1.0R,2026-01-20
TR-10003,2026-01-05,SHORT,2.28,-1.0R,2026-01-05
TR-10004,2026-01-05,SHORT,2.35,+2.2R,2026-01-08
TR-10005,2026-01-03,SHORT,2.04,-1.0R,2026-01-04
TR-10006,2026-01-02,SHORT,1.99,-1.0R,2026-01-03
TR-10007,2026-01-02,SHORT,2.01,-1.0R,2026-01-03
TR-10008,2025-12-29,SHORT,1.92,+2.2R,2025-12-29
TR-10009,2025-12-15,LONG,1.93,-1.0R,2025-12-15
TR-10010,2025-12-15,LONG,1.90,-1.0R,2025-12-16
TR-10011,2025-12-01,LONG,2.05,-1.0R,2025-12-01
TR-10012,2025-12-01,LONG,2.06,-1.0R,2025-12-01
TR-10013,2025-11-24,SHORT,2.23,+2.2R,2025-12-01
TR-10014,2025-11-19,LONG,2.04,-1.0R,2025-11-21
TR-10015,2025-11-03,LONG,2.33,-1.0R,2025-11-04
TR-10016,2025-10-30,LONG,2.45,-1.0R,2025-11-03
TR-10017,2025-10-30,LONG,2.39,-1.0R,2025-11-03
TR-10018,2025-10-29,LONG,2.55,-1.0R,2025-10-30
TR-10019,2025-10-11,LONG,2.40,-1.0R,2025-11-04
TR-10020,2025-10-10,LONG,2.68,-1.0R,2025-10-10
TR-10021,2025-10-10,LONG,2.37,-1.0R,2025-11-04
TR-10022,2025-10-07,LONG,2.88,-1.0R,2025-10-09
TR-10023,2025-10-07,LONG,2.86,-1.0R,2025-10-09
TR-10024,2025-10-02,SHORT,3.09,+2.2R,2025-10-07
TR-10025,2025-09-28,SHORT,2.87,-1.0R,2025-09-29
TR-10026,2025-09-22,LONG,2.90,-1.0R,2025-09-22
TR-10027,2025-09-22,LONG,2.81,+2.2R,2025-09-24
TR-10028,2025-09-22,LONG,2.82,+2.2R,2025-09-24
TR-10029,2025-09-18,SHORT,3.11,+2.2R,2025-09-19
TR-10030,2025-09-08,SHORT,2.99,-1.0R,2025-09-11
TR-10031,2025-08-25,LONG,2.88,+2.2R,2025-08-26
TR-10032,2025-08-08,SHORT,3.38,+2.2R,2025-08-14
TR-10033,2025-08-07,SHORT,3.32,+2.2R,2025-08-14
