TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: BNB
Timeframe: 1h
Period: 2Y
Generated: 2026-01-27T17:30:37.710658Z

SUMMARY STATISTICS (Real Backtest Data - 2Y)
---------------------------------------
Total Trades: 722
Win Rate: 38.8%
Total Net Profit: +174.0 R
Wins: 280 | Losses: 442

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-25  | SHORT | $885.94    | +2.2R      | 2026-01-25 
TR-10001 | 2026-01-20  | LONG  | $932.38    | -1.0R      | 2026-01-20 
TR-10002 | 2026-01-20  | SHORT | $915.32    | +2.2R      | 2026-01-20 
TR-10003 | 2026-01-20  | SHORT | $906.16    | +2.2R      | 2026-01-20 
TR-10004 | 2026-01-17  | LONG  | $942.15    | +2.2R      | 2026-01-17 
TR-10005 | 2026-01-13  | LONG  | $909.42    | +2.2R      | 2026-01-13 
TR-10006 | 2026-01-11  | LONG  | $916.81    | -1.0R      | 2026-01-11 
TR-10007 | 2026-01-10  | LONG  | $907.31    | -1.0R      | 2026-01-10 
TR-10008 | 2026-01-10  | LONG  | $912.14    | -1.0R      | 2026-01-10 
TR-10009 | 2026-01-10  | LONG  | $913.93    | -1.0R      | 2026-01-10 
TR-10010 | 2026-01-09  | LONG  | $898.25    | -1.0R      | 2026-01-09 
TR-10011 | 2026-01-06  | LONG  | $920.52    | -1.0R      | 2026-01-06 
TR-10012 | 2026-01-05  | LONG  | $903.25    | -1.0R      | 2026-01-05 
TR-10013 | 2026-01-05  | LONG  | $908.89    | -1.0R      | 2026-01-05 
TR-10014 | 2026-01-04  | LONG  | $881.03    | +2.2R      | 2026-01-04 
TR-10015 | 2026-01-02  | LONG  | $865.79    | +2.2R      | 2026-01-02 
TR-10016 | 2026-01-02  | LONG  | $875.32    | -1.0R      | 2026-01-02 
TR-10017 | 2025-12-31  | LONG  | $866.12    | +2.2R      | 2025-12-31 
TR-10018 | 2025-12-31  | LONG  | $867.99    | +2.2R      | 2025-12-31 
TR-10019 | 2025-12-30  | LONG  | $856.51    | +2.2R      | 2025-12-30 
TR-10020 | 2025-12-30  | LONG  | $862.62    | -1.0R      | 2025-12-30 
TR-10021 | 2025-12-28  | LONG  | $848.08    | +2.2R      | 2025-12-28 
TR-10022 | 2025-12-25  | SHORT | $829.64    | -1.0R      | 2025-12-26 
TR-10023 | 2025-12-21  | SHORT | $847.67    | -1.0R      | 2025-12-21 
TR-10024 | 2025-12-21  | SHORT | $846.71    | -1.0R      | 2025-12-21 
TR-10025 | 2025-12-18  | SHORT | $831.49    | -1.0R      | 2025-12-18 
TR-10026 | 2025-12-17  | SHORT | $853.78    | +2.2R      | 2025-12-17 
TR-10027 | 2025-12-17  | SHORT | $847.39    | +2.2R      | 2025-12-18 
TR-10028 | 2025-12-17  | SHORT | $837.85    | -1.0R      | 2025-12-18 
TR-10029 | 2025-12-14  | SHORT | $882.88    | +2.2R      | 2025-12-14 
TR-10030 | 2025-12-12  | LONG  | $892.65    | -1.0R      | 2025-12-12 
TR-10031 | 2025-12-11  | SHORT | $883.61    | +2.2R      | 2025-12-11 
TR-10032 | 2025-12-11  | SHORT | $876.60    | -1.0R      | 2025-12-11 
TR-10033 | 2025-12-11  | SHORT | $866.99    | -1.0R      | 2025-12-11 
TR-10034 | 2025-12-09  | SHORT | $887.61    | -1.0R      | 2025-12-09 
TR-10035 | 2025-12-09  | LONG  | $907.67    | +2.2R      | 2025-12-09 
TR-10036 | 2025-12-08  | LONG  | $909.85    | -1.0R      | 2025-12-08 
TR-10037 | 2025-12-07  | SHORT | $873.66    | -1.0R      | 2025-12-07 
TR-10038 | 2025-12-07  | LONG  | $899.30    | -1.0R      | 2025-12-07 
TR-10039 | 2025-12-06  | LONG  | $889.59    | +2.2R      | 2025-12-06 
TR-10040 | 2025-12-06  | LONG  | $894.61    | -1.0R      | 2025-12-06 
TR-10041 | 2025-12-03  | LONG  | $916.61    | -1.0R      | 2025-12-04 
TR-10042 | 2025-12-03  | LONG  | $918.83    | -1.0R      | 2025-12-04 
TR-10043 | 2025-12-03  | LONG  | $920.76    | -1.0R      | 2025-12-04 
TR-10044 | 2025-12-01  | SHORT | $834.50    | +2.2R      | 2025-12-01 
TR-10045 | 2025-12-01  | SHORT | $811.85    | -1.0R      | 2025-12-01 
TR-10046 | 2025-11-30  | LONG  | $882.58    | +2.2R      | 2025-11-30 
TR-10047 | 2025-11-29  | SHORT | $872.93    | -1.0R      | 2025-11-30 
TR-10048 | 2025-11-26  | LONG  | $871.97    | +2.2R      | 2025-11-26 
TR-10049 | 2025-11-26  | LONG  | $888.14    | +2.2R      | 2025-11-27 
TR-10050 | 2025-11-21  | SHORT | $852.41    | +2.2R      | 2025-11-21 
TR-10051 | 2025-11-21  | SHORT | $832.03    | +2.2R      | 2025-11-21 
TR-10052 | 2025-11-17  | SHORT | $907.19    | -1.0R      | 2025-11-17 
TR-10053 | 2025-11-17  | SHORT | $897.39    | -1.0R      | 2025-11-18 
TR-10054 | 2025-11-16  | SHORT | $914.51    | -1.0R      | 2025-11-16 
TR-10055 | 2025-11-13  | SHORT | $946.20    | +2.2R      | 2025-11-13 
TR-10056 | 2025-11-13  | SHORT | $931.01    | +2.2R      | 2025-11-13 
TR-10057 | 2025-11-12  | SHORT | $953.13    | -1.0R      | 2025-11-12 
TR-10058 | 2025-11-12  | SHORT | $949.10    | -1.0R      | 2025-11-13 
TR-10059 | 2025-11-12  | SHORT | $942.59    | -1.0R      | 2025-11-12 
TR-10060 | 2025-11-11  | SHORT | $974.63    | +2.2R      | 2025-11-11 
TR-10061 | 2025-11-11  | SHORT | $961.27    | -1.0R      | 2025-11-12 
TR-10062 | 2025-11-11  | SHORT | $960.29    | -1.0R      | 2025-11-12 
TR-10063 | 2025-11-10  | LONG  | $1013.09   | -1.0R      | 2025-11-10 
TR-10064 | 2025-11-10  | SHORT | $984.30    | -1.0R      | 2025-11-10 
TR-10065 | 2025-11-10  | SHORT | $980.04    | -1.0R      | 2025-11-10 
TR-10066 | 2025-11-09  | SHORT | $981.07    | -1.0R      | 2025-11-09 
TR-10067 | 2025-11-09  | LONG  | $1002.36   | -1.0R      | 2025-11-09 
TR-10068 | 2025-11-09  | LONG  | $1004.96   | -1.0R      | 2025-11-09 
TR-10069 | 2025-11-06  | SHORT | $943.22    | +2.2R      | 2025-11-06 
TR-10070 | 2025-11-06  | SHORT | $936.90    | -1.0R      | 2025-11-06 
TR-10071 | 2025-11-06  | SHORT | $933.71    | -1.0R      | 2025-11-06 
