TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: ETH
Timeframe: 1h
Period: 2Y
Generated: 2026-01-27T17:29:45.098620Z

SUMMARY STATISTICS (Real Backtest Data - 2Y)
---------------------------------------
Total Trades: 617
Win Rate: 37.3%
Total Net Profit: +119.0 R
Wins: 230 | Losses: 387

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-25  | SHORT | $2942.60   | +2.2R      | 2026-01-25 
TR-10001 | 2026-01-25  | SHORT | $2929.08   | -1.0R      | 2026-01-25 
TR-10002 | 2026-01-21  | SHORT | $2891.58   | -1.0R      | 2026-01-21 
TR-10003 | 2026-01-14  | LONG  | $3370.26   | -1.0R      | 2026-01-14 
TR-10004 | 2026-01-12  | LONG  | $3157.65   | -1.0R      | 2026-01-12 
TR-10005 | 2026-01-08  | SHORT | $3105.38   | -1.0R      | 2026-01-08 
TR-10006 | 2026-01-08  | SHORT | $3077.40   | -1.0R      | 2026-01-08 
TR-10007 | 2026-01-05  | LONG  | $3168.19   | +2.2R      | 2026-01-05 
TR-10008 | 2026-01-05  | LONG  | $3241.93   | -1.0R      | 2026-01-06 
TR-10009 | 2026-01-02  | LONG  | $3048.15   | -1.0R      | 2026-01-02 
TR-10010 | 2025-12-29  | LONG  | $2966.77   | +2.2R      | 2025-12-29 
TR-10011 | 2025-12-29  | LONG  | $2980.95   | +2.2R      | 2025-12-29 
TR-10012 | 2025-12-26  | LONG  | $2973.50   | -1.0R      | 2025-12-26 
TR-10013 | 2025-12-25  | SHORT | $2903.95   | -1.0R      | 2025-12-26 
TR-10014 | 2025-12-23  | SHORT | $2959.91   | +2.2R      | 2025-12-23 
TR-10015 | 2025-12-23  | SHORT | $2941.82   | -1.0R      | 2025-12-23 
TR-10016 | 2025-12-22  | LONG  | $3022.39   | -1.0R      | 2025-12-22 
TR-10017 | 2025-12-21  | LONG  | $3004.00   | -1.0R      | 2025-12-21 
TR-10018 | 2025-12-21  | SHORT | $2950.49   | -1.0R      | 2025-12-21 
TR-10019 | 2025-12-18  | SHORT | $2781.93   | -1.0R      | 2025-12-18 
TR-10020 | 2025-12-17  | SHORT | $2864.29   | -1.0R      | 2025-12-18 
TR-10021 | 2025-12-17  | SHORT | $2813.88   | -1.0R      | 2025-12-18 
TR-10022 | 2025-12-15  | LONG  | $3153.79   | -1.0R      | 2025-12-15 
TR-10023 | 2025-12-15  | SHORT | $3010.96   | +2.2R      | 2025-12-15 
TR-10024 | 2025-12-08  | LONG  | $3158.69   | -1.0R      | 2025-12-08 
TR-10025 | 2025-12-07  | LONG  | $3112.96   | -1.0R      | 2025-12-07 
TR-10026 | 2025-11-30  | LONG  | $3025.99   | -1.0R      | 2025-11-30 
TR-10027 | 2025-11-30  | LONG  | $3048.99   | -1.0R      | 2025-11-30 
TR-10028 | 2025-11-29  | SHORT | $2969.98   | -1.0R      | 2025-11-29 
TR-10029 | 2025-11-28  | LONG  | $3065.24   | -1.0R      | 2025-11-28 
TR-10030 | 2025-11-26  | LONG  | $3026.89   | -1.0R      | 2025-11-27 
TR-10031 | 2025-11-25  | LONG  | $2970.42   | -1.0R      | 2025-11-26 
TR-10032 | 2025-11-24  | LONG  | $2940.03   | -1.0R      | 2025-11-25 
TR-10033 | 2025-11-24  | LONG  | $2957.53   | -1.0R      | 2025-11-25 
TR-10034 | 2025-11-21  | SHORT | $2720.17   | -1.0R      | 2025-11-21 
TR-10035 | 2025-11-19  | SHORT | $3017.56   | -1.0R      | 2025-11-19 
TR-10036 | 2025-11-19  | SHORT | $2973.16   | +2.2R      | 2025-11-19 
TR-10037 | 2025-11-19  | SHORT | $2950.19   | -1.0R      | 2025-11-19 
TR-10038 | 2025-11-19  | SHORT | $2922.85   | -1.0R      | 2025-11-19 
TR-10039 | 2025-11-16  | SHORT | $3105.44   | +2.2R      | 2025-11-16 
TR-10040 | 2025-11-16  | SHORT | $3061.60   | -1.0R      | 2025-11-16 
TR-10041 | 2025-11-13  | SHORT | $3327.59   | +2.2R      | 2025-11-13 
TR-10042 | 2025-11-13  | SHORT | $3255.50   | +2.2R      | 2025-11-14 
TR-10043 | 2025-11-12  | SHORT | $3399.30   | -1.0R      | 2025-11-12 
TR-10044 | 2025-11-11  | SHORT | $3481.10   | -1.0R      | 2025-11-12 
TR-10045 | 2025-11-10  | SHORT | $3519.46   | -1.0R      | 2025-11-10 
TR-10046 | 2025-11-08  | SHORT | $3368.03   | -1.0R      | 2025-11-08 
TR-10047 | 2025-11-07  | SHORT | $3223.05   | -1.0R      | 2025-11-07 
TR-10048 | 2025-11-06  | SHORT | $3349.50   | -1.0R      | 2025-11-06 
TR-10049 | 2025-11-06  | SHORT | $3329.01   | +2.2R      | 2025-11-06 
TR-10050 | 2025-11-06  | SHORT | $3300.00   | -1.0R      | 2025-11-07 
TR-10051 | 2025-11-04  | SHORT | $3492.08   | -1.0R      | 2025-11-04 
TR-10052 | 2025-11-04  | SHORT | $3429.62   | +2.2R      | 2025-11-04 
TR-10053 | 2025-11-03  | SHORT | $3837.47   | +2.2R      | 2025-11-03 
TR-10054 | 2025-11-03  | SHORT | $3799.38   | +2.2R      | 2025-11-03 
TR-10055 | 2025-11-03  | SHORT | $3736.23   | +2.2R      | 2025-11-03 
TR-10056 | 2025-11-02  | SHORT | $3852.86   | -1.0R      | 2025-11-02 
TR-10057 | 2025-10-30  | SHORT | $3818.28   | +2.2R      | 2025-10-30 
TR-10058 | 2025-10-30  | SHORT | $3766.68   | +2.2R      | 2025-10-30 
TR-10059 | 2025-10-30  | SHORT | $3721.28   | -1.0R      | 2025-10-30 
TR-10060 | 2025-10-29  | SHORT | $3917.90   | +2.2R      | 2025-10-30 
TR-10061 | 2025-10-28  | SHORT | $3979.28   | -1.0R      | 2025-10-29 
TR-10062 | 2025-10-26  | LONG  | $3987.91   | +2.2R      | 2025-10-26 
TR-10063 | 2025-10-24  | LONG  | $3974.36   | -1.0R      | 2025-10-24 
TR-10064 | 2025-10-21  | LONG  | $4021.24   | -1.0R      | 2025-10-21 
TR-10065 | 2025-10-21  | LONG  | $4081.66   | -1.0R      | 2025-10-21 
TR-10066 | 2025-10-20  | LONG  | $4054.40   | -1.0R      | 2025-10-20 
TR-10067 | 2025-10-20  | LONG  | $4061.11   | -1.0R      | 2025-10-20 
TR-10068 | 2025-10-17  | SHORT | $3819.71   | +2.2R      | 2025-10-17 
TR-10069 | 2025-10-17  | SHORT | $3756.49   | -1.0R      | 2025-10-17 
TR-10070 | 2025-10-17  | SHORT | $3708.80   | -1.0R      | 2025-10-17 
TR-10071 | 2025-10-16  | SHORT | $3907.18   | +2.2R      | 2025-10-17 
TR-10072 | 2025-10-15  | LONG  | $4181.79   | -1.0R      | 2025-10-15 
TR-10073 | 2025-10-15  | SHORT | $4009.87   | -1.0R      | 2025-10-16 
TR-10074 | 2025-10-15  | SHORT | $3980.97   | -1.0R      | 2025-10-16 
TR-10075 | 2025-10-14  | SHORT | $4003.38   | +2.2R      | 2025-10-14 
TR-10076 | 2025-10-13  | LONG  | $4234.62   | -1.0R      | 2025-10-14 
TR-10077 | 2025-10-13  | LONG  | $4251.96   | -1.0R      | 2025-10-14 
TR-10078 | 2025-10-13  | LONG  | $4286.21   | -1.0R      | 2025-10-14 
TR-10079 | 2025-10-11  | SHORT | $3695.15   | -1.0R      | 2025-10-11 
TR-10080 | 2025-10-10  | SHORT | $4280.35   | +2.2R      | 2025-10-10 
TR-10081 | 2025-10-09  | SHORT | $4412.82   | +2.2R      | 2025-10-09 
TR-10082 | 2025-10-09  | SHORT | $4277.34   | -1.0R      | 2025-10-09 
TR-10083 | 2025-10-08  | LONG  | $4538.46   | -1.0R      | 2025-10-09 
TR-10084 | 2025-10-07  | LONG  | $4747.46   | -1.0R      | 2025-10-07 
TR-10085 | 2025-10-06  | LONG  | $4560.26   | +2.2R      | 2025-10-06 
TR-10086 | 2025-10-05  | LONG  | $4548.90   | +2.2R      | 2025-10-05 
TR-10087 | 2025-10-02  | LONG  | $4393.31   | -1.0R      | 2025-10-02 
TR-10088 | 2025-10-02  | LONG  | $4403.50   | -1.0R      | 2025-10-02 
TR-10089 | 2025-10-02  | LONG  | $4437.09   | +2.2R      | 2025-10-02 
TR-10090 | 2025-10-02  | LONG  | $4448.40   | +2.2R      | 2025-10-03 
TR-10091 | 2025-10-02  | LONG  | $4487.30   | -1.0R      | 2025-10-03 
TR-10092 | 2025-10-01  | LONG  | $4291.23   | +2.2R      | 2025-10-02 
TR-10093 | 2025-10-01  | LONG  | $4348.03   | +2.2R      | 2025-10-02 
TR-10094 | 2025-09-29  | LONG  | $4169.13   | -1.0R      | 2025-09-29 
TR-10095 | 2025-09-29  | LONG  | $4188.80   | -1.0R      | 2025-09-29 
TR-10096 | 2025-09-29  | LONG  | $4226.09   | -1.0R      | 2025-09-30 
TR-10097 | 2025-09-28  | SHORT | $3978.11   | -1.0R      | 2025-09-28 
TR-10098 | 2025-09-25  | SHORT | $4102.17   | +2.2R      | 2025-09-25 
TR-10099 | 2025-09-19  | SHORT | $4523.80   | +2.2R      | 2025-09-19 
TR-10100 | 2025-09-19  | SHORT | $4513.80   | -1.0R      | 2025-09-19 
TR-10101 | 2025-09-18  | LONG  | $4618.95   | -1.0R      | 2025-09-18 
TR-10102 | 2025-09-17  | SHORT | $4433.77   | -1.0R      | 2025-09-17 
TR-10103 | 2025-09-17  | LONG  | $4587.12   | -1.0R      | 2025-09-19 
TR-10104 | 2025-09-15  | SHORT | $4510.62   | +2.2R      | 2025-09-16 
TR-10105 | 2025-09-12  | LONG  | $4512.07   | +2.2R      | 2025-09-12 
TR-10106 | 2025-09-12  | LONG  | $4575.80   | +2.2R      | 2025-09-12 
TR-10107 | 2025-09-10  | LONG  | $4370.99   | +2.2R      | 2025-09-10 
TR-10108 | 2025-09-06  | SHORT | $4270.24   | -1.0R      | 2025-09-06 
TR-10109 | 2025-09-05  | LONG  | $4471.12   | -1.0R      | 2025-09-05 
TR-10110 | 2025-09-04  | SHORT | $4274.03   | -1.0R      | 2025-09-04 
TR-10111 | 2025-09-03  | LONG  | $4419.29   | -1.0R      | 2025-09-04 
TR-10112 | 2025-09-01  | SHORT | $4323.16   | +2.2R      | 2025-09-01 
TR-10113 | 2025-09-01  | SHORT | $4288.99   | -1.0R      | 2025-09-02 
TR-10114 | 2025-08-31  | SHORT | $4391.83   | -1.0R      | 2025-09-01 
TR-10115 | 2025-08-29  | SHORT | $4381.03   | -1.0R      | 2025-08-29 
TR-10116 | 2025-08-29  | SHORT | $4334.51   | -1.0R      | 2025-08-29 
