ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-19,SHORT,1.97,-1.0R,2026-01-19
TR-10001,2026-01-18,SHORT,1.99,+2.2R,2026-01-19
TR-10002,2026-01-16,SHORT,2.03,-1.0R,2026-01-16
TR-10003,2026-01-13,LONG,2.14,-1.0R,2026-01-15
TR-10004,2026-01-13,LONG,2.17,-1.0R,2026-01-14
TR-10005,2026-01-02,LONG,1.99,+2.2R,2026-01-03
TR-10006,2025-12-31,SHORT,1.83,-1.0R,2026-01-01
TR-10007,2025-12-25,SHORT,1.83,-1.0R,2025-12-26
TR-10008,2025-12-24,SHORT,1.86,-1.0R,2025-12-29
TR-10009,2025-12-23,SHORT,1.88,+2.2R,2025-12-26
TR-10010,2025-12-18,SHORT,1.84,-1.0R,2025-12-18
TR-10011,2025-12-18,SHORT,1.81,-1.0R,2025-12-19
TR-10012,2025-12-11,SHORT,2.00,-1.0R,2025-12-11
TR-10013,2025-11-30,SHORT,2.15,+2.2R,2025-12-01
TR-10014,2025-11-20,SHORT,2.01,+2.2R,2025-11-21
TR-10015,2025-11-19,SHORT,2.09,+2.2R,2025-11-21
TR-10016,2025-11-17,SHORT,2.13,-1.0R,2025-11-18
TR-10017,2025-11-16,SHORT,2.19,-1.0R,2025-11-17
TR-10018,2025-11-13,SHORT,2.32,+2.2R,2025-11-16
TR-10019,2025-11-10,LONG,2.54,-1.0R,2025-11-11
TR-10020,2025-10-16,SHORT,2.33,+2.2R,2025-10-17
TR-10021,2025-10-10,SHORT,2.74,+2.2R,2025-10-10
TR-10022,2025-10-08,SHORT,2.85,-1.0R,2025-10-08
TR-10023,2025-10-02,LONG,2.97,+2.2R,2025-10-02
TR-10024,2025-10-01,LONG,2.94,+2.2R,2025-10-02
TR-10025,2025-09-25,SHORT,2.76,-1.0R,2025-09-28
TR-10026,2025-09-22,SHORT,2.90,+2.2R,2025-09-22
TR-10027,2025-09-17,LONG,3.08,-1.0R,2025-09-19
TR-10028,2025-09-12,LONG,3.09,+2.2R,2025-09-13
TR-10029,2025-09-12,LONG,3.11,-1.0R,2025-09-14
TR-10030,2025-09-11,LONG,3.04,+2.2R,2025-09-12
TR-10031,2025-09-08,LONG,2.94,+2.2R,2025-09-09
TR-10032,2025-09-01,SHORT,2.74,-1.0R,2025-09-01
TR-10033,2025-08-29,SHORT,2.83,+2.2R,2025-09-01
TR-10034,2025-08-22,SHORT,2.81,-1.0R,2025-08-22
TR-10035,2025-08-22,LONG,3.07,-1.0R,2025-08-23
TR-10036,2025-08-19,SHORT,2.93,+2.2R,2025-08-22
TR-10037,2025-08-19,SHORT,2.88,-1.0R,2025-08-20
TR-10038,2025-08-19,SHORT,2.86,-1.0R,2025-08-20
TR-10039,2025-08-18,SHORT,2.99,-1.0R,2025-08-18
TR-10040,2025-08-18,SHORT,2.96,-1.0R,2025-08-18
TR-10041,2025-07-17,LONG,3.16,+2.2R,2025-07-17
TR-10042,2025-07-16,LONG,3.06,+2.2R,2025-07-17
TR-10043,2025-07-09,LONG,2.38,+2.2R,2025-07-10
TR-10044,2025-07-09,LONG,2.42,+2.2R,2025-07-10
TR-10045,2025-07-01,SHORT,2.16,-1.0R,2025-07-02
TR-10046,2025-06-21,SHORT,2.07,+2.2R,2025-06-21
TR-10047,2025-06-21,SHORT,2.06,+2.2R,2025-06-22
TR-10048,2025-06-16,LONG,2.25,+2.2R,2025-06-16
TR-10049,2025-06-12,SHORT,2.20,+2.2R,2025-06-13
TR-10050,2025-06-12,SHORT,2.19,+2.2R,2025-06-13
TR-10051,2025-06-09,LONG,2.32,-1.0R,2025-06-10
TR-10052,2025-06-05,SHORT,2.13,-1.0R,2025-06-06
TR-10053,2025-05-31,SHORT,2.11,-1.0R,2025-05-31
TR-10054,2025-05-30,SHORT,2.22,+2.2R,2025-05-30
TR-10055,2025-05-28,SHORT,2.25,-1.0R,2025-05-29
TR-10056,2025-05-28,SHORT,2.23,-1.0R,2025-05-28
TR-10057,2025-05-23,SHORT,2.30,+2.2R,2025-05-30
TR-10058,2025-05-12,LONG,2.59,-1.0R,2025-05-12
TR-10059,2025-05-08,LONG,2.21,+2.2R,2025-05-08
TR-10060,2025-05-06,SHORT,2.09,-1.0R,2025-05-06
TR-10061,2025-05-05,SHORT,2.15,-1.0R,2025-05-05
TR-10062,2025-05-05,SHORT,2.12,-1.0R,2025-05-05
TR-10063,2025-05-04,SHORT,2.16,-1.0R,2025-05-05
TR-10064,2025-04-28,LONG,2.34,-1.0R,2025-04-28
TR-10065,2025-04-27,LONG,2.28,-1.0R,2025-04-28
TR-10066,2025-04-22,LONG,2.16,+2.2R,2025-04-22
TR-10067,2025-04-16,SHORT,2.05,-1.0R,2025-04-16
TR-10068,2025-03-26,SHORT,2.37,+2.2R,2025-03-28
TR-10069,2025-03-26,SHORT,2.35,+2.2R,2025-03-28
TR-10070,2025-03-19,LONG,2.55,-1.0R,2025-03-19
TR-10071,2025-03-18,SHORT,2.24,-1.0R,2025-03-19
TR-10072,2025-03-09,SHORT,2.25,+2.2R,2025-03-09
TR-10073,2025-03-08,SHORT,2.32,+2.2R,2025-03-09
TR-10074,2025-02-28,SHORT,2.02,-1.0R,2025-02-28
TR-10075,2025-02-24,SHORT,2.49,+2.2R,2025-02-24
TR-10076,2025-02-24,SHORT,2.43,+2.2R,2025-02-24
TR-10077,2025-01-28,LONG,3.19,-1.0R,2025-01-28
TR-10078,2025-01-15,LONG,2.83,-1.0R,2025-01-15
TR-10079,2025-01-14,LONG,2.66,+2.2R,2025-01-15
TR-10080,2025-01-11,LONG,2.42,+2.2R,2025-01-11
TR-10081,2025-01-01,LONG,2.23,+2.2R,2025-01-02
TR-10082,2025-01-01,LONG,2.32,+2.2R,2025-01-03
TR-10083,2024-12-30,SHORT,2.07,+2.2R,2024-12-30
TR-10084,2024-12-14,LONG,2.49,-1.0R,2024-12-14
TR-10085,2024-11-29,LONG,1.55,+2.2R,2024-11-29
TR-10086,2024-11-21,LONG,1.25,+2.2R,2024-11-22
TR-10087,2024-11-14,LONG,0.79,+2.2R,2024-11-15
TR-10088,2024-11-12,LONG,0.65,+2.2R,2024-11-12
TR-10089,2024-11-10,LONG,0.59,+2.2R,2024-11-10
TR-10090,2024-11-06,LONG,0.53,+2.2R,2024-11-07
TR-10091,2024-11-03,SHORT,0.50,-1.0R,2024-11-04
TR-10092,2024-11-03,SHORT,0.50,-1.0R,2024-11-04
TR-10093,2024-10-25,SHORT,0.50,-1.0R,2024-10-26
TR-10094,2024-10-23,SHORT,0.53,+2.2R,2024-10-25
TR-10095,2024-10-22,SHORT,0.53,+2.2R,2024-10-23
TR-10096,2024-10-02,SHORT,0.58,+2.2R,2024-10-02
TR-10097,2024-09-21,LONG,0.60,-1.0R,2024-09-22
TR-10098,2024-09-06,SHORT,0.53,+2.2R,2024-09-06
TR-10099,2024-09-06,SHORT,0.52,-1.0R,2024-09-07
TR-10100,2024-08-30,SHORT,0.55,-1.0R,2024-08-30
TR-10101,2024-08-27,SHORT,0.57,-1.0R,2024-08-28
TR-10102,2024-08-24,LONG,0.62,-1.0R,2024-08-24
TR-10103,2024-08-23,LONG,0.61,+2.2R,2024-08-24
TR-10104,2024-08-19,LONG,0.59,-1.0R,2024-08-19
TR-10105,2024-08-18,LONG,0.57,-1.0R,2024-08-18
TR-10106,2024-08-11,SHORT,0.55,-1.0R,2024-08-12
TR-10107,2024-08-04,SHORT,0.53,+2.2R,2024-08-05
