ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-17,LONG,955.37,-1.0R,2026-01-18
TR-10001,2026-01-13,LONG,941.50,-1.0R,2026-01-14
TR-10002,2026-01-02,LONG,877.99,+2.2R,2026-01-04
TR-10003,2025-12-25,SHORT,829.64,-1.0R,2025-12-26
TR-10004,2025-12-23,SHORT,844.17,+2.2R,2025-12-26
TR-10005,2025-12-18,SHORT,820.53,-1.0R,2025-12-19
TR-10006,2025-12-15,SHORT,859.14,-1.0R,2025-12-16
TR-10007,2025-12-15,SHORT,849.95,-1.0R,2025-12-16
TR-10008,2025-12-11,SHORT,868.19,-1.0R,2025-12-11
TR-10009,2025-11-20,SHORT,866.51,+2.2R,2025-11-21
TR-10010,2025-11-19,SHORT,878.90,-1.0R,2025-11-20
TR-10011,2025-11-13,SHORT,913.54,-1.0R,2025-11-15
TR-10012,2025-11-12,SHORT,953.13,-1.0R,2025-11-12
TR-10013,2025-11-12,SHORT,949.10,-1.0R,2025-11-13
TR-10014,2025-11-11,SHORT,961.27,+2.2R,2025-11-13
TR-10015,2025-11-11,SHORT,958.08,-1.0R,2025-11-12
TR-10016,2025-10-30,SHORT,1061.76,-1.0R,2025-10-31
TR-10017,2025-10-28,SHORT,1103.45,+2.2R,2025-10-30
TR-10018,2025-10-27,LONG,1151.18,-1.0R,2025-10-27
TR-10019,2025-10-21,SHORT,1057.16,-1.0R,2025-10-23
TR-10020,2025-10-06,LONG,1198.26,+2.2R,2025-10-07
TR-10021,2025-10-02,LONG,1047.81,+2.2R,2025-10-02
TR-10022,2025-10-02,LONG,1055.68,+2.2R,2025-10-02
TR-10023,2025-09-20,LONG,1021.10,+2.2R,2025-09-20
TR-10024,2025-09-20,LONG,1043.77,+2.2R,2025-09-21
TR-10025,2025-09-16,LONG,954.66,+2.2R,2025-09-17
TR-10026,2025-09-10,LONG,895.50,+2.2R,2025-09-12
TR-10027,2025-08-22,LONG,894.60,-1.0R,2025-08-24
TR-10028,2025-08-22,LONG,900.21,-1.0R,2025-08-23
TR-10029,2025-08-20,LONG,869.11,-1.0R,2025-08-21
TR-10030,2025-08-13,LONG,846.74,-1.0R,2025-08-14
TR-10031,2025-08-13,LONG,854.89,-1.0R,2025-08-13
TR-10032,2025-08-12,LONG,831.76,+2.2R,2025-08-13
TR-10033,2025-08-11,LONG,821.19,-1.0R,2025-08-11
TR-10034,2025-08-07,LONG,776.95,+2.2R,2025-08-08
TR-10035,2025-08-07,LONG,780.66,+2.2R,2025-08-09
TR-10036,2025-08-06,LONG,773.20,+2.2R,2025-08-08
TR-10037,2025-07-23,LONG,797.09,-1.0R,2025-07-23
TR-10038,2025-07-23,LONG,808.46,-1.0R,2025-07-23
TR-10039,2025-07-22,LONG,786.68,-1.0R,2025-07-23
TR-10040,2025-07-14,LONG,706.42,-1.0R,2025-07-14
TR-10041,2025-07-10,LONG,671.66,+2.2R,2025-07-10
TR-10042,2025-07-10,LONG,675.92,+2.2R,2025-07-10
TR-10043,2025-07-09,LONG,669.26,+2.2R,2025-07-10
TR-10044,2025-07-02,LONG,661.64,-1.0R,2025-07-04
TR-10045,2025-07-02,LONG,663.85,-1.0R,2025-07-03
TR-10046,2025-06-29,LONG,651.12,-1.0R,2025-06-29
TR-10047,2025-06-29,LONG,654.90,-1.0R,2025-06-30
TR-10048,2025-06-21,SHORT,636.85,+2.2R,2025-06-21
TR-10049,2025-06-21,SHORT,631.09,+2.2R,2025-06-22
TR-10050,2025-06-21,SHORT,628.97,+2.2R,2025-06-22
TR-10051,2025-06-13,SHORT,649.33,-1.0R,2025-06-13
TR-10052,2025-06-10,LONG,673.51,-1.0R,2025-06-11
TR-10053,2025-06-09,LONG,656.58,+2.2R,2025-06-09
TR-10054,2025-06-09,LONG,659.70,+2.2R,2025-06-09
TR-10055,2025-06-09,LONG,665.58,-1.0R,2025-06-10
TR-10056,2025-06-05,SHORT,644.49,+2.2R,2025-06-05
