TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: BTC
Timeframe: 4h
Period: 5Y
Generated: 2026-01-27T17:31:36.852350Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 336
Win Rate: 40.2%
Total Net Profit: +96.0 R
Wins: 135 | Losses: 201

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-13  | LONG  | $93449.99  | +2.2R      | 2026-01-13 
TR-10001 | 2026-01-13  | LONG  | $94226.84  | +2.2R      | 2026-01-13 
TR-10002 | 2025-12-23  | SHORT | $87574.79  | -1.0R      | 2025-12-26 
TR-10003 | 2025-12-18  | SHORT | $84483.79  | -1.0R      | 2025-12-19 
TR-10004 | 2025-12-15  | SHORT | $87033.22  | +2.2R      | 2025-12-15 
TR-10005 | 2025-11-20  | SHORT | $86921.28  | +2.2R      | 2025-11-21 
TR-10006 | 2025-11-18  | SHORT | $90842.72  | -1.0R      | 2025-11-18 
TR-10007 | 2025-11-17  | SHORT | $91678.93  | -1.0R      | 2025-11-18 
TR-10008 | 2025-11-14  | SHORT | $97151.98  | +2.2R      | 2025-11-16 
TR-10009 | 2025-11-13  | SHORT | $98682.14  | +2.2R      | 2025-11-14 
TR-10010 | 2025-11-12  | SHORT | $101297.31 | -1.0R      | 2025-11-13 
TR-10011 | 2025-11-04  | SHORT | $104490.72 | +2.2R      | 2025-11-04 
TR-10012 | 2025-10-26  | LONG  | $113286.09 | +2.2R      | 2025-10-26 
TR-10013 | 2025-10-26  | LONG  | $113694.97 | +2.2R      | 2025-10-26 
TR-10014 | 2025-10-16  | SHORT | $108549.21 | +2.2R      | 2025-10-17 
TR-10015 | 2025-10-16  | SHORT | $108197.66 | +2.2R      | 2025-10-17 
TR-10016 | 2025-10-10  | SHORT | $116661.50 | +2.2R      | 2025-10-10 
TR-10017 | 2025-09-25  | SHORT | $109360.00 | -1.0R      | 2025-09-28 
TR-10018 | 2025-09-18  | LONG  | $117581.66 | -1.0R      | 2025-09-19 
TR-10019 | 2025-09-17  | LONG  | $117162.48 | -1.0R      | 2025-09-17 
TR-10020 | 2025-09-16  | LONG  | $116800.12 | -1.0R      | 2025-09-17 
TR-10021 | 2025-09-11  | LONG  | $114400.01 | +2.2R      | 2025-09-12 
TR-10022 | 2025-09-10  | LONG  | $113853.99 | +2.2R      | 2025-09-12 
TR-10023 | 2025-08-29  | SHORT | $108386.23 | -1.0R      | 2025-09-02 
TR-10024 | 2025-08-25  | SHORT | $110111.98 | -1.0R      | 2025-08-26 
TR-10025 | 2025-08-22  | LONG  | $116370.75 | -1.0R      | 2025-08-23 
TR-10026 | 2025-08-21  | SHORT | $112193.71 | -1.0R      | 2025-08-22 
TR-10027 | 2025-08-19  | SHORT | $113786.38 | -1.0R      | 2025-08-22 
TR-10028 | 2025-08-18  | SHORT | $115319.00 | -1.0R      | 2025-08-18 
TR-10029 | 2025-08-13  | LONG  | $122744.21 | -1.0R      | 2025-08-14 
TR-10030 | 2025-08-13  | LONG  | $123306.43 | -1.0R      | 2025-08-14 
TR-10031 | 2025-08-10  | LONG  | $118500.00 | -1.0R      | 2025-08-10 
TR-10032 | 2025-08-10  | LONG  | $118815.00 | +2.2R      | 2025-08-11 
TR-10033 | 2025-08-10  | LONG  | $119294.01 | +2.2R      | 2025-08-11 
TR-10034 | 2025-08-07  | LONG  | $116519.53 | +2.2R      | 2025-08-10 
TR-10035 | 2025-08-07  | LONG  | $117461.98 | -1.0R      | 2025-08-08 
TR-10036 | 2025-08-01  | SHORT | $113328.68 | -1.0R      | 2025-08-04 
TR-10037 | 2025-07-14  | LONG  | $120750.24 | +2.2R      | 2025-07-14 
TR-10038 | 2025-07-09  | LONG  | $111750.00 | -1.0R      | 2025-07-09 
TR-10039 | 2025-07-02  | LONG  | $109676.14 | -1.0R      | 2025-07-04 
TR-10040 | 2025-06-29  | LONG  | $108477.11 | -1.0R      | 2025-06-29 
TR-10041 | 2025-06-21  | SHORT | $102245.10 | +2.2R      | 2025-06-22 
TR-10042 | 2025-06-21  | SHORT | $102120.01 | +2.2R      | 2025-06-22 
TR-10043 | 2025-06-20  | SHORT | $103307.22 | +2.2R      | 2025-06-21 
TR-10044 | 2025-06-17  | SHORT | $104241.63 | -1.0R      | 2025-06-20 
TR-10045 | 2025-06-16  | LONG  | $107061.80 | +2.2R      | 2025-06-16 
TR-10046 | 2025-06-16  | LONG  | $107424.96 | -1.0R      | 2025-06-17 
TR-10047 | 2025-06-05  | SHORT | $101914.77 | -1.0R      | 2025-06-06 
TR-10048 | 2025-06-03  | LONG  | $106610.66 | -1.0R      | 2025-06-03 
TR-10049 | 2025-05-18  | LONG  | $105518.00 | -1.0R      | 2025-05-18 
TR-10050 | 2025-05-18  | LONG  | $106454.26 | -1.0R      | 2025-05-19 
TR-10051 | 2025-05-10  | LONG  | $104809.53 | -1.0R      | 2025-05-11 
TR-10052 | 2025-05-06  | LONG  | $96834.02  | +2.2R      | 2025-05-08 
TR-10053 | 2025-05-01  | LONG  | $96180.01  | -1.0R      | 2025-05-04 
TR-10054 | 2025-05-01  | LONG  | $96854.30  | -1.0R      | 2025-05-04 
TR-10055 | 2025-04-25  | LONG  | $95061.22  | -1.0R      | 2025-04-28 
TR-10056 | 2025-04-21  | LONG  | $88044.80  | -1.0R      | 2025-04-21 
TR-10057 | 2025-04-12  | LONG  | $85008.40  | -1.0R      | 2025-04-13 
TR-10058 | 2025-04-06  | SHORT | $79614.35  | +2.2R      | 2025-04-06 
TR-10059 | 2025-03-31  | SHORT | $81530.00  | -1.0R      | 2025-03-31 
TR-10060 | 2025-03-28  | SHORT | $85212.99  | +2.2R      | 2025-03-29 
TR-10061 | 2025-03-18  | SHORT | $81610.21  | -1.0R      | 2025-03-19 
TR-10062 | 2025-02-28  | SHORT | $80452.44  | -1.0R      | 2025-02-28 
TR-10063 | 2025-02-24  | SHORT | $94323.95  | -1.0R      | 2025-02-24 
