TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: BTC
Timeframe: 1h
Period: 6M
Generated: 2026-01-27T17:28:18.776301Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 169
Win Rate: 34.3%
Total Net Profit: +16.6 R
Wins: 58 | Losses: 111

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-25  | SHORT | $88960.35  | +2.2R      | 2026-01-25 
TR-10001 | 2026-01-25  | SHORT | $88831.36  | +2.2R      | 2026-01-25 
TR-10002 | 2026-01-25  | SHORT | $88077.26  | +2.2R      | 2026-01-25 
TR-10003 | 2026-01-21  | SHORT | $87602.40  | -1.0R      | 2026-01-21 
TR-10004 | 2026-01-20  | SHORT | $92062.61  | +2.2R      | 2026-01-20 
TR-10005 | 2026-01-18  | LONG  | $95439.60  | -1.0R      | 2026-01-18 
TR-10006 | 2026-01-14  | LONG  | $97293.24  | -1.0R      | 2026-01-14 
TR-10007 | 2026-01-12  | LONG  | $91412.44  | +2.2R      | 2026-01-12 
TR-10008 | 2026-01-12  | LONG  | $92203.56  | -1.0R      | 2026-01-12 
TR-10009 | 2026-01-08  | SHORT | $89898.01  | -1.0R      | 2026-01-08 
TR-10010 | 2026-01-05  | LONG  | $92405.46  | +2.2R      | 2026-01-05 
TR-10011 | 2026-01-05  | LONG  | $93428.00  | +2.2R      | 2026-01-05 
TR-10012 | 2026-01-05  | LONG  | $93957.73  | -1.0R      | 2026-01-05 
TR-10013 | 2026-01-05  | LONG  | $94317.84  | -1.0R      | 2026-01-06 
TR-10014 | 2026-01-02  | LONG  | $89178.13  | +2.2R      | 2026-01-02 
TR-10015 | 2026-01-02  | LONG  | $89467.32  | -1.0R      | 2026-01-02 
TR-10016 | 2026-01-02  | LONG  | $90376.05  | -1.0R      | 2026-01-02 
TR-10017 | 2026-01-01  | LONG  | $88316.37  | -1.0R      | 2026-01-01 
TR-10018 | 2025-12-31  | SHORT | $87656.98  | -1.0R      | 2026-01-01 
TR-10019 | 2025-12-29  | LONG  | $88295.69  | -1.0R      | 2025-12-29 
TR-10020 | 2025-12-29  | SHORT | $87397.00  | -1.0R      | 2025-12-29 
TR-10021 | 2025-12-26  | LONG  | $89199.99  | -1.0R      | 2025-12-26 
TR-10022 | 2025-12-25  | LONG  | $88371.27  | -1.0R      | 2025-12-25 
TR-10023 | 2025-12-25  | SHORT | $87225.27  | -1.0R      | 2025-12-26 
TR-10024 | 2025-12-21  | LONG  | $88537.87  | +2.2R      | 2025-12-21 
TR-10025 | 2025-12-21  | LONG  | $88892.82  | -1.0R      | 2025-12-21 
TR-10026 | 2025-12-21  | SHORT | $87670.10  | -1.0R      | 2025-12-21 
TR-10027 | 2025-12-18  | SHORT | $84483.79  | -1.0R      | 2025-12-18 
TR-10028 | 2025-12-17  | LONG  | $89675.85  | -1.0R      | 2025-12-17 
TR-10029 | 2025-12-17  | SHORT | $85829.22  | -1.0R      | 2025-12-18 
TR-10030 | 2025-12-11  | SHORT | $90674.74  | -1.0R      | 2025-12-11 
TR-10031 | 2025-12-11  | SHORT | $90074.00  | -1.0R      | 2025-12-11 
TR-10032 | 2025-12-07  | SHORT | $88220.53  | -1.0R      | 2025-12-07 
TR-10033 | 2025-12-07  | LONG  | $90945.17  | -1.0R      | 2025-12-07 
TR-10034 | 2025-12-07  | LONG  | $91363.78  | -1.0R      | 2025-12-07 
TR-10035 | 2025-12-05  | SHORT | $90465.14  | -1.0R      | 2025-12-05 
TR-10036 | 2025-12-03  | LONG  | $93642.92  | -1.0R      | 2025-12-03 
TR-10037 | 2025-12-01  | SHORT | $84677.87  | -1.0R      | 2025-12-01 
TR-10038 | 2025-11-30  | LONG  | $91184.45  | +2.2R      | 2025-11-30 
TR-10039 | 2025-11-30  | LONG  | $91769.99  | -1.0R      | 2025-11-30 
TR-10040 | 2025-11-28  | LONG  | $92377.01  | -1.0R      | 2025-11-28 
TR-10041 | 2025-11-26  | LONG  | $89830.79  | +2.2R      | 2025-11-27 
TR-10042 | 2025-11-26  | LONG  | $90145.69  | +2.2R      | 2025-11-27 
TR-10043 | 2025-11-21  | SHORT | $84049.39  | +2.2R      | 2025-11-21 
TR-10044 | 2025-11-19  | SHORT | $90459.99  | -1.0R      | 2025-11-19 
TR-10045 | 2025-11-19  | SHORT | $89951.70  | -1.0R      | 2025-11-19 
TR-10046 | 2025-11-17  | SHORT | $92767.49  | +2.2R      | 2025-11-18 
TR-10047 | 2025-11-17  | SHORT | $92549.01  | +2.2R      | 2025-11-18 
TR-10048 | 2025-11-17  | SHORT | $91678.93  | +2.2R      | 2025-11-18 
TR-10049 | 2025-11-16  | SHORT | $94573.46  | -1.0R      | 2025-11-16 
TR-10050 | 2025-11-16  | SHORT | $94224.47  | -1.0R      | 2025-11-16 
TR-10051 | 2025-11-14  | SHORT | $94377.47  | -1.0R      | 2025-11-15 
TR-10052 | 2025-11-13  | SHORT | $100633.13 | +2.2R      | 2025-11-13 
TR-10053 | 2025-11-13  | SHORT | $99659.99  | +2.2R      | 2025-11-14 
TR-10054 | 2025-11-13  | SHORT | $98591.78  | -1.0R      | 2025-11-13 
TR-10055 | 2025-11-12  | SHORT | $102173.51 | -1.0R      | 2025-11-13 
TR-10056 | 2025-11-12  | SHORT | $101442.61 | -1.0R      | 2025-11-13 
TR-10057 | 2025-11-11  | SHORT | $104530.83 | +2.2R      | 2025-11-11 
TR-10058 | 2025-11-11  | SHORT | $103455.99 | -1.0R      | 2025-11-12 
TR-10059 | 2025-11-07  | SHORT | $99638.28  | -1.0R      | 2025-11-07 
TR-10060 | 2025-11-06  | SHORT | $102552.38 | -1.0R      | 2025-11-06 
TR-10061 | 2025-11-06  | SHORT | $102125.00 | +2.2R      | 2025-11-06 
TR-10062 | 2025-11-06  | SHORT | $102014.48 | +2.2R      | 2025-11-06 
TR-10063 | 2025-11-06  | SHORT | $100867.20 | -1.0R      | 2025-11-06 
TR-10064 | 2025-11-04  | SHORT | $104215.76 | +2.2R      | 2025-11-04 
TR-10065 | 2025-11-04  | SHORT | $104051.90 | +2.2R      | 2025-11-04 
TR-10066 | 2025-11-04  | SHORT | $102257.70 | +2.2R      | 2025-11-04 
TR-10067 | 2025-11-03  | SHORT | $109033.83 | +2.2R      | 2025-11-03 
TR-10068 | 2025-11-02  | LONG  | $110895.53 | -1.0R      | 2025-11-02 
TR-10069 | 2025-11-02  | LONG  | $111196.99 | -1.0R      | 2025-11-02 
TR-10070 | 2025-10-30  | SHORT | $108575.27 | -1.0R      | 2025-10-30 
TR-10071 | 2025-10-30  | SHORT | $107627.16 | -1.0R      | 2025-10-31 
TR-10072 | 2025-10-30  | SHORT | $106536.39 | -1.0R      | 2025-10-30 
TR-10073 | 2025-10-29  | SHORT | $111509.74 | +2.2R      | 2025-10-29 
TR-10074 | 2025-10-29  | SHORT | $111106.35 | -1.0R      | 2025-10-29 
TR-10075 | 2025-10-29  | SHORT | $110806.38 | -1.0R      | 2025-10-29 
TR-10076 | 2025-10-27  | LONG  | $115556.57 | -1.0R      | 2025-10-27 
TR-10077 | 2025-10-26  | LONG  | $112528.83 | +2.2R      | 2025-10-26 
TR-10078 | 2025-10-25  | LONG  | $111899.03 | -1.0R      | 2025-10-25 
TR-10079 | 2025-10-23  | LONG  | $110246.94 | -1.0R      | 2025-10-23 
TR-10080 | 2025-10-21  | SHORT | $109514.92 | +2.2R      | 2025-10-21 
TR-10081 | 2025-10-21  | SHORT | $109059.22 | +2.2R      | 2025-10-21 
TR-10082 | 2025-10-21  | LONG  | $112170.52 | -1.0R      | 2025-10-21 
TR-10083 | 2025-10-21  | LONG  | $113422.61 | -1.0R      | 2025-10-21 
TR-10084 | 2025-10-20  | LONG  | $111033.79 | -1.0R      | 2025-10-20 
TR-10085 | 2025-10-20  | LONG  | $111298.55 | -1.0R      | 2025-10-20 
TR-10086 | 2025-10-19  | SHORT | $106443.95 | -1.0R      | 2025-10-19 
TR-10087 | 2025-10-17  | SHORT | $106741.28 | +2.2R      | 2025-10-17 
TR-10088 | 2025-10-17  | SHORT | $105633.75 | +2.2R      | 2025-10-17 
TR-10089 | 2025-10-17  | SHORT | $104884.38 | -1.0R      | 2025-10-17 
TR-10090 | 2025-10-16  | SHORT | $108549.21 | +2.2R      | 2025-10-17 
TR-10091 | 2025-10-14  | SHORT | $113500.00 | +2.2R      | 2025-10-14 
