TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: ETH
Timeframe: 4h
Period: 6M
Generated: 2026-01-27T17:28:34.031752Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 32
Win Rate: 50.0%
Total Net Profit: +19.2 R
Wins: 16 | Losses: 16

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-13  | LONG  | $3184.41   | +2.2R      | 2026-01-13 
TR-10001 | 2026-01-13  | LONG  | $3215.90   | +2.2R      | 2026-01-13 
TR-10002 | 2026-01-05  | LONG  | $3185.86   | -1.0R      | 2026-01-05 
TR-10003 | 2025-12-23  | SHORT | $2928.59   | -1.0R      | 2025-12-26 
TR-10004 | 2025-12-18  | SHORT | $2781.93   | -1.0R      | 2025-12-19 
TR-10005 | 2025-12-15  | SHORT | $3010.96   | +2.2R      | 2025-12-15 
TR-10006 | 2025-12-15  | SHORT | $2940.30   | -1.0R      | 2025-12-17 
TR-10007 | 2025-12-12  | SHORT | $3071.41   | -1.0R      | 2025-12-15 
TR-10008 | 2025-12-09  | LONG  | $3245.88   | +2.2R      | 2025-12-10 
TR-10009 | 2025-11-20  | SHORT | $2847.90   | +2.2R      | 2025-11-21 
TR-10010 | 2025-11-19  | SHORT | $2881.66   | -1.0R      | 2025-11-19 
TR-10011 | 2025-11-17  | SHORT | $2982.27   | -1.0R      | 2025-11-18 
TR-10012 | 2025-11-13  | SHORT | $3197.69   | +2.2R      | 2025-11-17 
TR-10013 | 2025-10-17  | SHORT | $3756.49   | -1.0R      | 2025-10-17 
TR-10014 | 2025-10-16  | SHORT | $3867.01   | -1.0R      | 2025-10-19 
TR-10015 | 2025-10-06  | LONG  | $4673.39   | -1.0R      | 2025-10-07 
TR-10016 | 2025-10-06  | LONG  | $4722.62   | -1.0R      | 2025-10-07 
TR-10017 | 2025-10-05  | LONG  | $4605.97   | -1.0R      | 2025-10-05 
TR-10018 | 2025-10-02  | LONG  | $4376.30   | +2.2R      | 2025-10-02 
TR-10019 | 2025-10-01  | LONG  | $4298.20   | +2.2R      | 2025-10-02 
TR-10020 | 2025-10-01  | LONG  | $4348.03   | +2.2R      | 2025-10-02 
TR-10021 | 2025-09-25  | SHORT | $4062.78   | +2.2R      | 2025-09-25 
TR-10022 | 2025-09-22  | SHORT | $4305.87   | +2.2R      | 2025-09-22 
TR-10023 | 2025-09-12  | LONG  | $4505.55   | +2.2R      | 2025-09-12 
TR-10024 | 2025-09-10  | LONG  | $4404.90   | -1.0R      | 2025-09-10 
TR-10025 | 2025-08-13  | LONG  | $4647.00   | -1.0R      | 2025-08-14 
TR-10026 | 2025-08-13  | LONG  | $4690.33   | -1.0R      | 2025-08-14 
TR-10027 | 2025-08-12  | LONG  | $4472.62   | +2.2R      | 2025-08-13 
TR-10028 | 2025-08-12  | LONG  | $4516.97   | +2.2R      | 2025-08-13 
TR-10029 | 2025-08-12  | LONG  | $4590.52   | -1.0R      | 2025-08-14 
TR-10030 | 2025-08-07  | LONG  | $3827.00   | +2.2R      | 2025-08-08 
TR-10031 | 2025-08-07  | LONG  | $3867.60   | +2.2R      | 2025-08-08 

[Cryptographically Signed by TraderCopilot Audit Engine]
Hash: P5KY01-RJ83MS
