TraderCopilot - Verified Performance Ledger
===========================================
Strategy: TitanBreakout
Asset: XRP
Timeframe: 1h
Period: 6M
Generated: 2026-01-27T17:29:05.875918Z

SUMMARY STATISTICS (Real Backtest Data - 6M)
---------------------------------------
Total Trades: 191
Win Rate: 39.3%
Total Net Profit: +49.0 R
Wins: 75 | Losses: 116

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-25  | SHORT | $1.91      | +2.2R      | 2026-01-25 
TR-10001 | 2026-01-25  | SHORT | $1.90      | +2.2R      | 2026-01-25 
TR-10002 | 2026-01-25  | SHORT | $1.89      | -1.0R      | 2026-01-25 
TR-10003 | 2026-01-23  | SHORT | $1.90      | -1.0R      | 2026-01-23 
TR-10004 | 2026-01-18  | SHORT | $2.05      | -1.0R      | 2026-01-18 
TR-10005 | 2026-01-15  | SHORT | $2.10      | +2.2R      | 2026-01-15 
TR-10006 | 2026-01-15  | SHORT | $2.09      | -1.0R      | 2026-01-15 
TR-10007 | 2026-01-11  | LONG  | $2.10      | -1.0R      | 2026-01-11 
TR-10008 | 2026-01-11  | LONG  | $2.11      | -1.0R      | 2026-01-11 
TR-10009 | 2026-01-11  | SHORT | $2.07      | +2.2R      | 2026-01-12 
TR-10010 | 2026-01-05  | LONG  | $2.16      | -1.0R      | 2026-01-05 
TR-10011 | 2026-01-05  | LONG  | $2.19      | -1.0R      | 2026-01-05 
TR-10012 | 2026-01-05  | LONG  | $2.21      | +2.2R      | 2026-01-05 
TR-10013 | 2026-01-02  | LONG  | $1.90      | +2.2R      | 2026-01-02 
TR-10014 | 2026-01-02  | LONG  | $1.92      | -1.0R      | 2026-01-02 
TR-10015 | 2025-12-31  | SHORT | $1.86      | +2.2R      | 2025-12-31 
TR-10016 | 2025-12-29  | LONG  | $1.88      | +2.2R      | 2025-12-29 
TR-10017 | 2025-12-29  | LONG  | $1.89      | +2.2R      | 2025-12-29 
TR-10018 | 2025-12-28  | SHORT | $1.86      | -1.0R      | 2025-12-28 
TR-10019 | 2025-12-25  | SHORT | $1.85      | -1.0R      | 2025-12-26 
TR-10020 | 2025-12-25  | SHORT | $1.83      | -1.0R      | 2025-12-26 
TR-10021 | 2025-12-24  | SHORT | $1.85      | -1.0R      | 2025-12-24 
TR-10022 | 2025-12-23  | SHORT | $1.87      | -1.0R      | 2025-12-23 
TR-10023 | 2025-12-22  | SHORT | $1.90      | +2.2R      | 2025-12-23 
TR-10024 | 2025-12-22  | SHORT | $1.90      | +2.2R      | 2025-12-23 
TR-10025 | 2025-12-21  | LONG  | $1.95      | -1.0R      | 2025-12-21 
