ID,DATE,TYPE,PRICE,RESULT_R,EXIT_DATE
TR-10000,2026-01-19,SHORT,1.97,-1.0R,2026-01-19
TR-10001,2026-01-18,SHORT,1.99,+2.2R,2026-01-19
TR-10002,2026-01-16,SHORT,2.03,-1.0R,2026-01-16
TR-10003,2026-01-13,LONG,2.14,-1.0R,2026-01-15
TR-10004,2026-01-13,LONG,2.17,-1.0R,2026-01-14
TR-10005,2026-01-02,LONG,1.99,+2.2R,2026-01-03
TR-10006,2025-12-31,SHORT,1.83,-1.0R,2026-01-01
TR-10007,2025-12-25,SHORT,1.83,-1.0R,2025-12-26
TR-10008,2025-12-24,SHORT,1.86,-1.0R,2025-12-29
TR-10009,2025-12-23,SHORT,1.88,+2.2R,2025-12-26
TR-10010,2025-12-18,SHORT,1.84,-1.0R,2025-12-18
TR-10011,2025-12-18,SHORT,1.81,-1.0R,2025-12-19
TR-10012,2025-12-11,SHORT,2.00,-1.0R,2025-12-11
TR-10013,2025-11-30,SHORT,2.15,+2.2R,2025-12-01
TR-10014,2025-11-20,SHORT,2.01,+2.2R,2025-11-21
TR-10015,2025-11-19,SHORT,2.09,+2.2R,2025-11-21
TR-10016,2025-11-17,SHORT,2.13,-1.0R,2025-11-18
TR-10017,2025-11-16,SHORT,2.19,-1.0R,2025-11-17
TR-10018,2025-11-13,SHORT,2.32,+2.2R,2025-11-16
TR-10019,2025-11-10,LONG,2.54,-1.0R,2025-11-11
TR-10020,2025-10-16,SHORT,2.33,+2.2R,2025-10-17
TR-10021,2025-10-10,SHORT,2.74,+2.2R,2025-10-10
TR-10022,2025-10-08,SHORT,2.85,-1.0R,2025-10-08
TR-10023,2025-10-02,LONG,2.97,+2.2R,2025-10-02
TR-10024,2025-10-01,LONG,2.94,+2.2R,2025-10-02
TR-10025,2025-09-25,SHORT,2.76,-1.0R,2025-09-28
TR-10026,2025-09-22,SHORT,2.90,+2.2R,2025-09-22
TR-10027,2025-09-17,LONG,3.08,-1.0R,2025-09-19
TR-10028,2025-09-12,LONG,3.09,+2.2R,2025-09-13
TR-10029,2025-09-12,LONG,3.11,-1.0R,2025-09-14
TR-10030,2025-09-11,LONG,3.04,+2.2R,2025-09-12
TR-10031,2025-09-08,LONG,2.94,+2.2R,2025-09-09
TR-10032,2025-09-01,SHORT,2.74,-1.0R,2025-09-01
TR-10033,2025-08-29,SHORT,2.83,+2.2R,2025-09-01
TR-10034,2025-08-22,SHORT,2.81,-1.0R,2025-08-22
TR-10035,2025-08-22,LONG,3.07,-1.0R,2025-08-23
TR-10036,2025-08-19,SHORT,2.93,+2.2R,2025-08-22
TR-10037,2025-08-19,SHORT,2.88,-1.0R,2025-08-20
TR-10038,2025-08-19,SHORT,2.86,-1.0R,2025-08-20
TR-10039,2025-08-18,SHORT,2.99,-1.0R,2025-08-18
TR-10040,2025-08-18,SHORT,2.96,-1.0R,2025-08-18
