Token,Strategy,Return%,MaxDD%,Trades
BNB,Donchian_Long,-98.88,-98.88,2531
BNB,Donchian_BiDir,-96.27,-96.34,1515
BNB,SMA_Long,12549.9,-54.57,456
BNB,SMA_BiDir,3344.19,-72.28,911
BTC,Donchian_Long,-98.82,-98.84,2242
BTC,Donchian_BiDir,-95.34,-95.39,1455
BTC,SMA_Long,1250.94,-67.89,484
BTC,SMA_BiDir,389.35,-78.08,968
ETH,Donchian_Long,-99.21,-99.23,2333
ETH,Donchian_BiDir,-95.16,-95.24,1473
ETH,SMA_Long,4780.58,-60.09,285
ETH,SMA_BiDir,8804.81,-60.69,570
SOL,Donchian_Long,-98.62,-98.7,1723
SOL,Donchian_BiDir,-77.73,-81.42,1056
SOL,SMA_Long,18769.73,-67.55,202
SOL,SMA_BiDir,20897.68,-71.25,404
