=== MEAN REVERSION (2022-2024) ===

| Token   |   ADX_Thresh |   RSI_Thresh |   Return% |   MaxDD% |   Trades |   WinRate% |   FinalEquity |
|:--------|-------------:|-------------:|----------:|---------:|---------:|-----------:|--------------:|
| BNB     |          100 |          100 |    -53.1  |   -67.42 |      477 |       61.2 |       4689.66 |
| BNB     |          100 |           30 |    -38.49 |   -54.34 |      300 |       60   |       6151.08 |
| BNB     |          100 |           25 |    -11.59 |   -33.65 |      200 |       59   |       8841.05 |
| BNB     |          100 |           20 |     -3.48 |   -31.06 |      128 |       59.4 |       9651.51 |
| BNB     |           30 |          100 |    -47.23 |   -58.52 |      284 |       60.6 |       5276.63 |
| BNB     |           30 |           30 |    -44.93 |   -51.93 |      139 |       57.6 |       5507    |
| BNB     |           30 |           25 |    -26.33 |   -46.31 |       73 |       57.5 |       7366.56 |
| BNB     |           30 |           20 |     -1.63 |   -20.5  |       33 |       66.7 |       9837.16 |
| BNB     |           25 |          100 |    -40.08 |   -52.11 |      202 |       60.9 |       5991.55 |
| BNB     |           25 |           30 |    -37.7  |   -47.22 |       82 |       54.9 |       6230.08 |
| BNB     |           25 |           25 |    -31.91 |   -44.4  |       34 |       50   |       6808.6  |
| BNB     |           25 |           20 |    -11.28 |   -24.49 |       20 |       55   |       8871.63 |
| BNB     |           20 |          100 |    -38.64 |   -42.08 |      105 |       56.2 |       6135.95 |
| BNB     |           20 |           30 |    -40.1  |   -42.1  |       37 |       45.9 |       5990.11 |
| BNB     |           20 |           25 |    -40.27 |   -44.58 |       16 |       31.2 |       5973.01 |
| BTC     |          100 |          100 |    -64.7  |   -70.88 |      491 |       61.9 |       3529.78 |
| BTC     |          100 |           30 |    -47.97 |   -56.75 |      301 |       60.5 |       5202.91 |
| BTC     |          100 |           25 |    -36.55 |   -48.05 |      203 |       57.6 |       6345.25 |
| BTC     |          100 |           20 |    -29.03 |   -38.51 |      125 |       55.2 |       7096.89 |
| BTC     |           30 |          100 |    -33.42 |   -48.27 |      290 |       63.4 |       6658.38 |
| BTC     |           30 |           30 |    -12.16 |   -32.16 |      144 |       62.5 |       8784.3  |
| BTC     |           30 |           25 |    -12.18 |   -20.96 |       69 |       59.4 |       8782.32 |
| BTC     |           30 |           20 |     -3.41 |   -12.45 |       32 |       53.1 |       9659.21 |
| BTC     |           25 |          100 |    -11.83 |   -36.14 |      201 |       64.2 |       8817.05 |
| BTC     |           25 |           30 |      0.86 |   -22.79 |       87 |       64.4 |      10086.4  |
| BTC     |           25 |           25 |     -3.3  |   -14.88 |       32 |       59.4 |       9669.5  |
| BTC     |           25 |           20 |     10.68 |    -4.71 |       13 |       76.9 |      11067.5  |
| BTC     |           20 |          100 |      4.6  |   -21.32 |      109 |       65.1 |      10460.2  |
| BTC     |           20 |           30 |     15.86 |    -8.26 |       33 |       69.7 |      11586.1  |
| BTC     |           20 |           25 |      3.76 |    -5.11 |       10 |       70   |      10376.5  |
| ETH     |          100 |          100 |    -78.73 |   -82.52 |      503 |       61.8 |       2127.08 |
| ETH     |          100 |           30 |    -73.11 |   -76.96 |      299 |       57.9 |       2689.43 |
| ETH     |          100 |           25 |    -48.52 |   -53.34 |      213 |       59.2 |       5148.32 |
| ETH     |          100 |           20 |    -41.79 |   -47.54 |      129 |       59.7 |       5820.9  |
| ETH     |           30 |          100 |    -52.88 |   -63.18 |      290 |       61   |       4712.31 |
| ETH     |           30 |           30 |    -24.69 |   -41.75 |      133 |       57.9 |       7531.03 |
| ETH     |           30 |           25 |     15.84 |   -18.48 |       80 |       62.5 |      11583.8  |
| ETH     |           30 |           20 |      3.86 |   -15.37 |       35 |       62.9 |      10385.7  |
| ETH     |           25 |          100 |    -33.83 |   -50.19 |      198 |       62.1 |       6616.89 |
| ETH     |           25 |           30 |     -3.87 |   -28.24 |       77 |       58.4 |       9612.86 |
| ETH     |           25 |           25 |      6.13 |   -11.63 |       39 |       59   |      10613.2  |
| ETH     |           25 |           20 |      8.89 |    -5.38 |       13 |       61.5 |      10889.4  |
| ETH     |           20 |          100 |    -31.42 |   -40.86 |      108 |       61.1 |       6858.29 |
| ETH     |           20 |           30 |      6.45 |   -12.39 |       37 |       51.4 |      10644.6  |
| ETH     |           20 |           25 |      1.71 |   -10.18 |       17 |       52.9 |      10171.4  |
| SOL     |          100 |          100 |    -79.14 |   -90.13 |      491 |       58.9 |       2086.47 |
| SOL     |          100 |           30 |      2.83 |   -54.45 |      308 |       60.4 |      10282.6  |
| SOL     |          100 |           25 |     43.7  |   -35.98 |      202 |       62.9 |      14370.1  |
| SOL     |          100 |           20 |     53.47 |   -37.32 |      111 |       64.9 |      15347.3  |
| SOL     |           30 |          100 |    -79.21 |   -81.97 |      285 |       57.2 |       2078.77 |
| SOL     |           30 |           30 |    -24.75 |   -52.24 |      144 |       59.7 |       7524.76 |
| SOL     |           30 |           25 |     -3.07 |   -41.49 |       69 |       63.8 |       9693.37 |
| SOL     |           30 |           20 |     -3.22 |   -14.72 |       26 |       57.7 |       9678.05 |
| SOL     |           25 |          100 |    -59.14 |   -64.5  |      193 |       57   |       4085.53 |
| SOL     |           25 |           30 |    -29.89 |   -45.38 |       90 |       57.8 |       7010.63 |
| SOL     |           25 |           25 |    -26.68 |   -33.68 |       30 |       53.3 |       7331.53 |
| SOL     |           20 |          100 |    -55.57 |   -60.77 |      114 |       53.5 |       4442.99 |
| SOL     |           20 |           30 |     -8.86 |   -20.96 |       43 |       60.5 |       9113.74 |
