=== MEAN REVERSION OPTIMIZATION RESULTS ===

| Token   |   ADX_Thresh |   RSI_Thresh |   Return% |   MaxDD% |   Trades |   WinRate% |   FinalEquity |
|:--------|-------------:|-------------:|----------:|---------:|---------:|-----------:|--------------:|
| BNB     |          100 |          100 |    -96.22 |   -96.76 |     1248 |       63.4 |        378.2  |
| BNB     |          100 |           30 |    -76.58 |   -84.57 |      776 |       62.8 |       2341.66 |
| BNB     |          100 |           25 |    -71.97 |   -82.16 |      507 |       61.1 |       2803.4  |
| BNB     |          100 |           20 |    -47.7  |   -69.17 |      319 |       59.2 |       5230.48 |
| BNB     |           30 |          100 |    -94.95 |   -95.46 |      757 |       61.2 |        504.96 |
| BNB     |           30 |           30 |    -67.81 |   -72.89 |      354 |       59.9 |       3218.98 |
| BNB     |           30 |           25 |    -45.17 |   -56.69 |      177 |       59.3 |       5483.34 |
| BNB     |           30 |           20 |     -4.5  |   -25.94 |       76 |       61.8 |       9549.83 |
| BNB     |           25 |          100 |    -74.91 |   -77.43 |      526 |       62.4 |       2508.55 |
| BNB     |           25 |           30 |    -25.71 |   -48.21 |      208 |       60.1 |       7428.65 |
| BNB     |           25 |           25 |    -36.47 |   -51.78 |       80 |       56.2 |       6352.93 |
| BNB     |           25 |           20 |    -11.8  |   -26.81 |       38 |       55.3 |       8820.22 |
| BNB     |           20 |          100 |    -56.87 |   -60.33 |      287 |       62   |       4313.23 |
| BNB     |           20 |           30 |    -25.97 |   -42.1  |       87 |       58.6 |       7403.15 |
| BNB     |           20 |           25 |    -50.47 |   -54.17 |       33 |       45.5 |       4953.14 |
| BNB     |           20 |           20 |    -10.3  |   -19.07 |       15 |       53.3 |       8969.59 |
| BTC     |          100 |          100 |    -94.08 |   -94.81 |     1294 |       62.6 |        592.2  |
| BTC     |          100 |           30 |    -87.48 |   -89.23 |      770 |       59.6 |       1251.83 |
| BTC     |          100 |           25 |    -82.61 |   -85.08 |      525 |       56.4 |       1739    |
| BTC     |          100 |           20 |    -81.47 |   -84.05 |      327 |       51.4 |       1852.63 |
| BTC     |           30 |          100 |    -61.12 |   -65.91 |      760 |       64.7 |       3888.32 |
| BTC     |           30 |           30 |    -50.76 |   -54.32 |      361 |       62   |       4923.62 |
| BTC     |           30 |           25 |    -37.87 |   -43.54 |      181 |       59.7 |       6212.73 |
| BTC     |           30 |           20 |    -37.38 |   -41.63 |       83 |       51.8 |       6262.39 |
| BTC     |           25 |          100 |    -58.14 |   -59.79 |      534 |       65.9 |       4186.01 |
