Token,SL_ATR,Return%,MaxDD%,Trades,WinRate%,ProfitFactor
BNB,None,-37.7,-47.22,82,54.9,0.45
BNB,1.0,-36.17,-37.48,89,39.3,0.4
BNB,2.0,-36.17,-37.48,89,39.3,0.4
BNB,3.0,-36.17,-37.48,89,39.3,0.4
BNB,5.0,-36.17,-37.48,89,39.3,0.4
BTC,None,0.86,-22.79,87,64.4,0.56
BTC,1.0,-14.59,-16.13,93,48.4,0.5
BTC,2.0,-14.59,-16.13,93,48.4,0.5
BTC,3.0,-14.59,-16.13,93,48.4,0.5
BTC,5.0,-14.59,-16.13,93,48.4,0.5
ETH,None,-3.87,-28.24,77,58.4,0.67
ETH,1.0,-21.35,-23.52,83,51.8,0.41
ETH,2.0,-21.35,-23.52,83,51.8,0.41
ETH,3.0,-21.35,-23.52,83,51.8,0.41
ETH,5.0,-21.35,-23.52,83,51.8,0.41
SOL,None,-29.89,-45.38,90,57.8,0.53
SOL,1.0,-13.03,-16.04,99,57.6,0.51
SOL,2.0,-13.03,-16.04,99,57.6,0.51
SOL,3.0,-13.03,-16.04,99,57.6,0.51
SOL,5.0,-13.03,-16.04,99,57.6,0.51
