Token,Entry,Exit,Return%,MaxDD%,Trades,Calmar,WinRate%
BNB,20,10,42.71488484449288,-85.87263022148116,1010,0.4974214104578305,34.05940594059406
BNB,20,20,182.09871867611548,-88.90301301372524,757,2.048285119965532,35.79920739762219
BNB,20,35,576.3581003683446,-85.4354241298992,563,6.746125582428528,36.41207815275311
BNB,20,55,3597.674831467854,-68.05351264628987,412,52.86538036863541,40.04854368932039
BNB,20,80,3586.991602096638,-75.40479574087938,324,47.569807289485354,39.19753086419753
BNB,35,10,195.3769060947176,-66.5568799940896,736,2.935487752912509,37.09239130434783
BNB,35,20,558.1740760818157,-79.96437380165258,576,6.980284463507925,37.15277777777778
BNB,35,35,1414.592858327855,-77.01103793903653,444,18.3687026715271,38.288288288288285
BNB,35,55,5619.229877839223,-64.6112211347824,335,86.96987580713287,41.7910447761194
BNB,35,80,3134.5226960786968,-72.11004666852764,275,43.46859891087487,39.63636363636363
BNB,55,10,152.20832153721173,-77.0381364338847,588,1.9757529008744807,36.564625850340136
BNB,55,20,458.2401368051836,-80.78980000799622,461,5.672004841698198,37.52711496746204
BNB,55,35,2306.7401456988873,-77.3156995212199,357,29.835339523323906,39.21568627450981
BNB,55,55,8895.437515266001,-58.071583567711535,276,153.18055697403034,40.94202898550724
BNB,55,80,4182.800158712872,-75.88555846062513,232,55.11984419121338,40.08620689655172
BNB,80,10,355.72263560353235,-71.22417369481393,480,4.994408740040374,38.958333333333336
BNB,80,20,835.0050038538417,-69.07658839557533,379,12.088104280311093,40.105540897097626
BNB,80,35,1861.1322603418937,-67.34171622823565,303,27.637137343427863,40.26402640264026
BNB,80,55,4367.339889167108,-57.696414658130735,243,75.69516953600947,41.1522633744856
BNB,80,80,2253.3616526188116,-70.75325842177624,206,31.848167884876922,39.32038834951456
BNB,110,10,704.7332273290496,-59.64564244477728,395,11.815334673970936,41.77215189873418
BNB,110,20,1230.956276609697,-68.2180239486382,314,18.044443467557663,42.038216560509554
BNB,110,35,1542.1280478980814,-60.41015896013662,254,25.52762771102289,43.7007874015748
BNB,110,55,2540.2817780988753,-52.323284520718836,206,48.54973844566239,42.71844660194174
BNB,110,80,1143.3580081619307,-63.154040485364234,181,18.10427328758008,40.331491712707184
BTC,20,10,-31.69699373465339,-67.04255292457088,942,-0.47278918167563605,33.22717622080679
BTC,20,20,-49.989313895341034,-76.66311989351308,727,-0.6520646950551633,33.56258596973865
BTC,20,35,142.25463970680337,-70.93195555039645,526,2.0055084989970826,34.030418250950575
