=== REFINEMENT PHASE RESULTS ===

| Token   | Variant           |   Return% |   Trades |   WinRate% |   MaxDD% |   FinalEquity |   ProfitFactor |
|:--------|:------------------|----------:|---------:|-----------:|---------:|--------------:|---------------:|
| BNB     | V2_Turtle_Classic |   8895.44 |      276 |       40.9 |   -58.07 |     899544    |           1.85 |
| BNB     | V6_Turtle_Asym    |    458.24 |      461 |       37.5 |   -80.79 |      55824    |           1.8  |
| BNB     | V7_Fast_Asym      |    374.11 |      688 |       36.5 |   -73.69 |      47411    |           1.84 |
| BNB     | V8_ATR_Wide       |    463.53 |      480 |       36.5 |   -77.69 |      56352.9  |           1.92 |
| BTC     | V2_Turtle_Classic |    333.91 |      293 |       35.2 |   -73.21 |      43390.7  |           2.15 |
| BTC     | V6_Turtle_Asym    |     -3.11 |      452 |       34.5 |   -69.39 |       9689.22 |           1.89 |
| BTC     | V7_Fast_Asym      |    -14.93 |      661 |       34.6 |   -67.13 |       8507.46 |           1.86 |
| BTC     | V8_ATR_Wide       |     47.37 |      479 |       33.8 |   -46.02 |      14737.4  |           2.04 |
| ETH     | V2_Turtle_Classic |   1572.71 |      286 |       36   |   -61.18 |     167271    |           2.14 |
| ETH     | V6_Turtle_Asym    |    207.57 |      454 |       33.7 |   -77.48 |      30756.7  |           2.14 |
| ETH     | V7_Fast_Asym      |    157.13 |      661 |       36   |   -74.22 |      25713.4  |           1.88 |
| ETH     | V8_ATR_Wide       |    312.85 |      479 |       37.4 |   -62.04 |      41284.5  |           1.86 |
| SOL     | V2_Turtle_Classic |    474.62 |      213 |       36.6 |   -84.09 |      57462.2  |           1.88 |
| SOL     | V6_Turtle_Asym    |    100    |      317 |       35   |   -70.58 |      20000.4  |           1.95 |
| SOL     | V7_Fast_Asym      |     62.95 |      471 |       35.7 |   -77.68 |      16295.2  |           1.86 |
| SOL     | V8_ATR_Wide       |     59.99 |      326 |       37.1 |   -62.61 |      15998.9  |           1.78 |
