Token,SL_ATR,TP_ATR,Return%,MaxDD%,Trades,WinRate%,ProfitFactor,FinalEquity
SOL,None,None,11047.43,-60.14,116,44.0,1.62,1114742.71
SOL,None,5.0,7613.48,-56.65,162,50.0,1.18,771348.02
SOL,None,10.0,11354.4,-63.28,151,42.4,1.58,1145440.27
SOL,None,20.0,9641.43,-54.01,129,45.0,1.52,974143.42
SOL,None,50.0,11047.43,-60.14,116,44.0,1.62,1114742.71
SOL,1.0,None,3848.75,-56.43,258,15.5,8.79,394874.67
SOL,1.0,5.0,129.55,-53.25,385,20.8,4.31,22954.94
SOL,1.0,10.0,3603.44,-50.04,325,16.6,7.5,370344.08
SOL,1.0,20.0,5719.38,-50.24,274,16.1,8.82,581937.54
SOL,1.0,50.0,3848.75,-56.43,258,15.5,8.79,394874.67
SOL,2.0,None,5234.16,-65.95,182,22.0,5.44,533416.42
SOL,2.0,5.0,109.55,-57.04,284,31.3,2.41,20954.82
SOL,2.0,10.0,5292.93,-65.67,236,23.7,4.67,539292.66
SOL,2.0,20.0,6295.17,-62.6,200,23.0,5.24,639517.47
SOL,2.0,50.0,5234.16,-65.95,182,22.0,5.44,533416.42
SOL,3.0,None,8937.29,-49.68,146,30.8,3.4,903728.88
SOL,3.0,5.0,1682.53,-43.31,225,41.8,1.74,178252.6
SOL,3.0,10.0,8173.73,-43.31,195,31.8,2.95,827373.2
SOL,3.0,20.0,8016.39,-50.03,163,31.9,3.28,811639.36
SOL,3.0,50.0,8937.29,-49.68,146,30.8,3.4,903728.88
BNB,None,None,8895.44,-58.07,276,40.9,1.85,899543.75
BNB,None,5.0,4098.69,-63.06,362,46.4,1.33,419869.27
BNB,None,10.0,3987.22,-60.68,334,39.5,1.82,408722.44
BNB,None,20.0,5956.0,-56.51,298,40.3,1.81,605599.7
BNB,None,50.0,8742.65,-58.07,277,40.8,1.86,884264.83
BNB,1.0,None,218.22,-72.85,631,15.5,6.25,31822.12
BNB,1.0,5.0,22.76,-76.36,849,19.6,4.18,12276.48
BNB,1.0,10.0,73.3,-74.79,731,16.0,5.58,17330.31
BNB,1.0,20.0,197.52,-71.3,657,15.8,6.07,29752.32
BNB,1.0,50.0,222.52,-72.85,632,15.7,6.2,32251.59
BNB,2.0,None,2670.4,-48.97,417,24.2,4.34,277039.64
BNB,2.0,5.0,463.62,-71.93,607,32.5,2.3,56361.89
BNB,2.0,10.0,1182.89,-67.68,511,23.9,3.9,128289.34
BNB,2.0,20.0,1834.87,-48.97,444,24.3,4.12,193486.72
BNB,2.0,50.0,2644.96,-48.97,418,24.2,4.36,274495.77
BNB,3.0,None,3601.1,-53.18,351,31.3,2.93,370110.17
BNB,3.0,5.0,1913.52,-52.59,499,40.1,1.74,201352.33
BNB,3.0,10.0,1360.34,-67.37,430,30.2,2.7,146033.76
BNB,3.0,20.0,2730.95,-53.97,373,31.1,2.88,283094.64
BNB,3.0,50.0,3583.09,-53.18,352,31.2,2.94,368309.05
