=== RISK PARAMETER OPTIMIZATION ===

--- SOL RESULTS ---
| Token   | SL_ATR   | TP_ATR   |   Return% |   MaxDD% |   Trades |   WinRate% |   ProfitFactor |      FinalEquity |
|:--------|:---------|:---------|----------:|---------:|---------:|-----------:|---------------:|-----------------:|
| SOL     | None     | 10.0     |  11354.4  |   -63.28 |      151 |       42.4 |           1.58 |      1.14544e+06 |
| SOL     | None     | None     |  11047.4  |   -60.14 |      116 |       44   |           1.62 |      1.11474e+06 |
| SOL     | None     | 50.0     |  11047.4  |   -60.14 |      116 |       44   |           1.62 |      1.11474e+06 |
| SOL     | None     | 20.0     |   9641.43 |   -54.01 |      129 |       45   |           1.52 | 974143           |
| SOL     | 3.0      | 50.0     |   8937.29 |   -49.68 |      146 |       30.8 |           3.4  | 903729           |
| SOL     | 3.0      | None     |   8937.29 |   -49.68 |      146 |       30.8 |           3.4  | 903729           |
| SOL     | 3.0      | 10.0     |   8173.73 |   -43.31 |      195 |       31.8 |           2.95 | 827373           |
| SOL     | 3.0      | 20.0     |   8016.39 |   -50.03 |      163 |       31.9 |           3.28 | 811639           |
| SOL     | None     | 5.0      |   7613.48 |   -56.65 |      162 |       50   |           1.18 | 771348           |
| SOL     | 2.0      | 20.0     |   6295.17 |   -62.6  |      200 |       23   |           5.24 | 639517           |

--- BNB RESULTS ---
| Token   | SL_ATR   | TP_ATR   |   Return% |   MaxDD% |   Trades |   WinRate% |   ProfitFactor |   FinalEquity |
|:--------|:---------|:---------|----------:|---------:|---------:|-----------:|---------------:|--------------:|
| BNB     | None     | None     |   8895.44 |   -58.07 |      276 |       40.9 |           1.85 |        899544 |
| BNB     | None     | 50.0     |   8742.65 |   -58.07 |      277 |       40.8 |           1.86 |        884265 |
| BNB     | None     | 20.0     |   5956    |   -56.51 |      298 |       40.3 |           1.81 |        605600 |
| BNB     | None     | 5.0      |   4098.69 |   -63.06 |      362 |       46.4 |           1.33 |        419869 |
| BNB     | None     | 10.0     |   3987.22 |   -60.68 |      334 |       39.5 |           1.82 |        408722 |
| BNB     | 3.0      | None     |   3601.1  |   -53.18 |      351 |       31.3 |           2.93 |        370110 |
| BNB     | 3.0      | 50.0     |   3583.09 |   -53.18 |      352 |       31.2 |           2.94 |        368309 |
| BNB     | 3.0      | 20.0     |   2730.95 |   -53.97 |      373 |       31.1 |           2.88 |        283095 |
| BNB     | 2.0      | None     |   2670.4  |   -48.97 |      417 |       24.2 |           4.34 |        277040 |
| BNB     | 2.0      | 50.0     |   2644.96 |   -48.97 |      418 |       24.2 |           4.36 |        274496 |
