Token,Config,RSI_Thresh,Exit_SMA,Filter,Return%,MaxDD%,Trades,WinRate%
BNB,RSI2/98_SMA5_NoFilter,2,5,NoFilter,-100.0,-100.0,14973,36.92
BNB,RSI2/98_SMA5_Trend,2,5,Trend,-100.0,-100.0,6867,36.55
BNB,RSI2/98_SMA10_NoFilter,2,10,NoFilter,-100.0,-100.0,11278,37.35
BNB,RSI2/98_SMA10_Trend,2,10,Trend,-99.97,-99.97,5037,37.46
BNB,RSI2/98_SMA20_NoFilter,2,20,NoFilter,-100.0,-100.0,8433,37.01
BNB,RSI2/98_SMA20_Trend,2,20,Trend,-99.91,-99.91,3613,36.42
BNB,RSI5/95_SMA5_NoFilter,5,5,NoFilter,-100.0,-100.0,15251,36.83
BNB,RSI5/95_SMA5_Trend,5,5,Trend,-100.0,-100.0,7015,36.32
BNB,RSI5/95_SMA10_NoFilter,5,10,NoFilter,-100.0,-100.0,11455,37.36
BNB,RSI5/95_SMA10_Trend,5,10,Trend,-99.97,-99.98,5130,37.29
BNB,RSI5/95_SMA20_NoFilter,5,20,NoFilter,-100.0,-100.0,8544,36.88
BNB,RSI5/95_SMA20_Trend,5,20,Trend,-99.92,-99.93,3664,36.11
BNB,RSI10/90_SMA5_NoFilter,10,5,NoFilter,-100.0,-100.0,15805,36.64
BNB,RSI10/90_SMA5_Trend,10,5,Trend,-100.0,-100.0,7278,36.16
BNB,RSI10/90_SMA10_NoFilter,10,10,NoFilter,-100.0,-100.0,11808,37.2
BNB,RSI10/90_SMA10_Trend,10,10,Trend,-99.98,-99.98,5294,37.08
BNB,RSI10/90_SMA20_NoFilter,10,20,NoFilter,-100.0,-100.0,8782,36.96
BNB,RSI10/90_SMA20_Trend,10,20,Trend,-99.93,-99.93,3772,36.06
BTC,RSI2/98_SMA5_NoFilter,2,5,NoFilter,-100.0,-100.0,15236,31.37
BTC,RSI2/98_SMA5_Trend,2,5,Trend,-100.0,-100.0,6943,31.04
BTC,RSI2/98_SMA10_NoFilter,2,10,NoFilter,-100.0,-100.0,11394,31.42
BTC,RSI2/98_SMA10_Trend,2,10,Trend,-99.99,-99.99,5048,31.1
BTC,RSI2/98_SMA20_NoFilter,2,20,NoFilter,-100.0,-100.0,8423,31.51
BTC,RSI2/98_SMA20_Trend,2,20,Trend,-99.9,-99.91,3572,31.75
BTC,RSI5/95_SMA5_NoFilter,5,5,NoFilter,-100.0,-100.0,15600,31.25
BTC,RSI5/95_SMA5_Trend,5,5,Trend,-100.0,-100.0,7125,30.89
BTC,RSI5/95_SMA10_NoFilter,5,10,NoFilter,-100.0,-100.0,11637,31.37
BTC,RSI5/95_SMA10_Trend,5,10,Trend,-99.99,-99.99,5164,30.96
BTC,RSI5/95_SMA20_NoFilter,5,20,NoFilter,-100.0,-100.0,8601,31.58
BTC,RSI5/95_SMA20_Trend,5,20,Trend,-99.93,-99.93,3660,31.75
BTC,RSI10/90_SMA5_NoFilter,10,5,NoFilter,-100.0,-100.0,16220,31.05
BTC,RSI10/90_SMA5_Trend,10,5,Trend,-100.0,-100.0,7456,30.82
BTC,RSI10/90_SMA10_NoFilter,10,10,NoFilter,-100.0,-100.0,12004,31.02
BTC,RSI10/90_SMA10_Trend,10,10,Trend,-100.0,-100.0,5348,30.61
BTC,RSI10/90_SMA20_NoFilter,10,20,NoFilter,-100.0,-100.0,8854,31.25
BTC,RSI10/90_SMA20_Trend,10,20,Trend,-99.96,-99.96,3791,31.31
ETH,RSI2/98_SMA5_NoFilter,2,5,NoFilter,-100.0,-100.0,15082,36.85
ETH,RSI2/98_SMA5_Trend,2,5,Trend,-100.0,-100.0,6903,36.33
ETH,RSI2/98_SMA10_NoFilter,2,10,NoFilter,-100.0,-100.0,11289,37.21
ETH,RSI2/98_SMA10_Trend,2,10,Trend,-100.0,-100.0,5029,36.79
ETH,RSI2/98_SMA20_NoFilter,2,20,NoFilter,-100.0,-100.0,8407,37.67
ETH,RSI2/98_SMA20_Trend,2,20,Trend,-99.92,-99.93,3559,37.12
ETH,RSI5/95_SMA5_NoFilter,5,5,NoFilter,-100.0,-100.0,15460,36.75
ETH,RSI5/95_SMA5_Trend,5,5,Trend,-100.0,-100.0,7086,36.23
ETH,RSI5/95_SMA10_NoFilter,5,10,NoFilter,-100.0,-100.0,11524,37.09
ETH,RSI5/95_SMA10_Trend,5,10,Trend,-100.0,-100.0,5149,36.73
ETH,RSI5/95_SMA20_NoFilter,5,20,NoFilter,-100.0,-100.0,8567,37.63
ETH,RSI5/95_SMA20_Trend,5,20,Trend,-99.93,-99.94,3638,37.08
