=== SMA OPTIMIZATION (Ranked by Calmar) ===

| Token   |   Fast |   Slow |   Return% |   MaxDD% |   Trades |   Calmar |
|:--------|-------:|-------:|----------:|---------:|---------:|---------:|
| BNB     |     10 |     50 |    247.54 |   -88.94 |      972 |     2.78 |
| BNB     |     20 |     50 |    375.7  |   -81.08 |      816 |     4.63 |
| BNB     |     30 |     50 |     82.72 |   -81.93 |      834 |     1.01 |
| BNB     |     40 |     50 |     87.84 |   -84.02 |     1006 |     1.05 |
| BNB     |     10 |     80 |   5959.61 |   -63.38 |      689 |    94.02 |
| BNB     |     20 |     80 |   7960.47 |   -55.21 |      542 |   144.19 |
| BNB     |     30 |     80 |   9041.34 |   -70.36 |      503 |   128.51 |
| BNB     |     40 |     80 |   4928.53 |   -65.68 |      489 |    75.04 |
| BNB     |     50 |     80 |   3886.53 |   -56.89 |      521 |    68.32 |
| BNB     |     10 |    100 |   9745.24 |   -49.86 |      590 |   195.45 |
| BNB     |     20 |    100 |  12549.9  |   -54.57 |      456 |   229.97 |
| BNB     |     30 |    100 |   8603.52 |   -58.92 |      402 |   146.03 |
| BNB     |     40 |    100 |   6838.96 |   -58.31 |      381 |   117.29 |
| BNB     |     50 |    100 |   6082.26 |   -56.4  |      388 |   107.85 |
| BNB     |     80 |    100 |   2982.55 |   -65.52 |      495 |    45.52 |
| BNB     |     10 |    150 |   5407.38 |   -54.52 |      447 |    99.19 |
| BNB     |     20 |    150 |   4060.26 |   -65.42 |      354 |    62.07 |
| BNB     |     30 |    150 |   5733.37 |   -73.03 |      305 |    78.51 |
| BNB     |     40 |    150 |   2482.02 |   -69.84 |      281 |    35.54 |
| BNB     |     50 |    150 |   3207.64 |   -67.91 |      263 |    47.23 |
| BNB     |     80 |    150 |   1200.25 |   -70.44 |      252 |    17.04 |
| BNB     |     10 |    200 |   3218.67 |   -59.95 |      379 |    53.69 |
| BNB     |     20 |    200 |   2621.34 |   -64.22 |      283 |    40.82 |
| BNB     |     30 |    200 |   3002.41 |   -68.87 |      249 |    43.6  |
| BNB     |     40 |    200 |   2601.83 |   -69.42 |      218 |    37.48 |
| BNB     |     50 |    200 |   2991.78 |   -66.81 |      208 |    44.78 |
| BNB     |     80 |    200 |    745.49 |   -76.11 |      188 |     9.79 |
| BNB     |     10 |    300 |   2183.06 |   -64.01 |      327 |    34.1  |
| BNB     |     20 |    300 |    932.3  |   -69.6  |      238 |    13.39 |
| BNB     |     30 |    300 |   1252.93 |   -67.86 |      203 |    18.46 |
| BNB     |     40 |    300 |   1504.32 |   -72.19 |      188 |    20.84 |
| BNB     |     50 |    300 |    910.21 |   -78.51 |      168 |    11.59 |
| BNB     |     80 |    300 |   1543    |   -75.28 |      150 |    20.5  |
| BTC     |     10 |     50 |     30.08 |   -79.91 |      974 |     0.38 |
| BTC     |     20 |     50 |     71.96 |   -65.94 |      835 |     1.09 |
| BTC     |     30 |     50 |     81.47 |   -76.85 |      852 |     1.06 |
| BTC     |     40 |     50 |    135.62 |   -69.64 |     1006 |     1.95 |
| BTC     |     10 |     80 |    503.85 |   -66.92 |      686 |     7.53 |
| BTC     |     20 |     80 |    950.96 |   -67.79 |      544 |    14.03 |
| BTC     |     30 |     80 |    784.12 |   -75.42 |      498 |    10.4  |
| BTC     |     40 |     80 |   1250.94 |   -67.89 |      484 |    18.43 |
| BTC     |     50 |     80 |    419.46 |   -73.72 |      504 |     5.69 |
| BTC     |     10 |    100 |    502.91 |   -64.69 |      598 |     7.77 |
| BTC     |     20 |    100 |    741.05 |   -64.7  |      465 |    11.45 |
| BTC     |     30 |    100 |    495.57 |   -72.35 |      419 |     6.85 |
| BTC     |     40 |    100 |    667.89 |   -68.82 |      397 |     9.7  |
| BTC     |     50 |    100 |    344.46 |   -75.4  |      397 |     4.57 |
| BTC     |     80 |    100 |     76.5  |   -75.06 |      477 |     1.02 |
| BTC     |     10 |    150 |    775.91 |   -61.27 |      448 |    12.66 |
