Token,Variant,Fast,Slow,Return%,MaxDD%,Calmar
BTC,EMA_Pure,40,80,1250.94,-66.11,18.92
BTC,SMA_ADX20,40,80,348.17,-62.25,5.59
BTC,SMA_ADX25,40,80,76.07,-71.22,1.07
BTC,EMA_ADX20,40,80,404.03,-62.7,6.44
BTC,EMA_Pure,30,60,823.12,-67.35,12.22
BTC,SMA_ADX20,30,60,107.46,-68.05,1.58
BTC,SMA_ADX25,30,60,-23.73,-77.32,-0.31
BTC,EMA_ADX20,30,60,233.94,-65.57,3.57
BTC,EMA_Pure,50,100,690.23,-72.79,9.48
BTC,SMA_ADX20,50,100,44.31,-72.32,0.61
BTC,SMA_ADX25,50,100,-39.25,-78.57,-0.5
BTC,EMA_ADX20,50,100,207.18,-67.94,3.05
BTC,EMA_Pure,20,50,585.29,-65.53,8.93
BTC,SMA_ADX20,20,50,-6.88,-75.15,-0.09
BTC,SMA_ADX25,20,50,-48.02,-81.57,-0.59
BTC,EMA_ADX20,20,50,193.16,-65.09,2.97
ETH,EMA_Pure,20,80,1141.87,-64.99,17.57
ETH,SMA_ADX20,20,80,331.1,-74.55,4.44
ETH,SMA_ADX25,20,80,310.77,-74.07,4.2
ETH,EMA_ADX20,20,80,108.83,-75.94,1.43
ETH,EMA_Pure,10,300,2178.5,-63.38,34.37
ETH,SMA_ADX20,10,300,597.77,-62.55,9.56
ETH,SMA_ADX25,10,300,645.33,-59.53,10.84
ETH,EMA_ADX20,10,300,400.14,-61.59,6.5
ETH,EMA_Pure,30,100,795.63,-62.34,12.76
ETH,SMA_ADX20,30,100,181.65,-72.38,2.51
ETH,SMA_ADX25,30,100,230.12,-68.36,3.37
ETH,EMA_ADX20,30,100,22.96,-74.36,0.31
ETH,EMA_Pure,50,200,2036.52,-69.24,29.41
ETH,SMA_ADX20,50,200,72.31,-72.69,0.99
ETH,SMA_ADX25,50,200,91.35,-66.9,1.37
ETH,EMA_ADX20,50,200,386.79,-67.87,5.7
