Token,Variant,Return,Trades,Equity
BNB,V1_Standard,182.09871867611548,757,28209.87186761155
BNB,V2_Turtle,8895.437515266001,276,899543.7515266001
BNB,V3_Trend,664.7771952200926,594,76477.71952200925
BNB,V4_ATR_Trail,-8.07616870328853,1303,9192.383129671147
BNB,V5_Aggressive,102.85453327971035,1276,20285.453327971034
BTC,V1_Standard,-49.989313895341034,727,5001.068610465897
BTC,V2_Turtle,333.9070486087415,293,43390.704860874146
BTC,V3_Trend,39.83136454590058,573,13983.136454590058
BTC,V4_ATR_Trail,-70.94168941031097,1228,2905.831058968903
BTC,V5_Aggressive,-75.29393413948307,1236,2470.6065860516937
ETH,V1_Standard,-17.687185299257962,736,8231.281470074204
ETH,V2_Turtle,1572.7120551989956,286,167271.20551989955
ETH,V3_Trend,238.80929594660333,568,33880.92959466033
ETH,V4_ATR_Trail,-64.68040549681065,1258,3531.9594503189355
ETH,V5_Aggressive,-18.872277037954856,1231,8112.7722962045145
SOL,V1_Standard,216.87927186380355,528,31687.927186380355
SOL,V2_Turtle,474.62248180929504,213,57462.248180929506
SOL,V3_Trend,654.5282182293433,406,75452.82182293433
SOL,V4_ATR_Trail,-90.79707885220252,921,920.2921147797471
SOL,V5_Aggressive,-40.35793315261396,896,5964.206684738604
