=== DETAILED RESULTS ===

| Token   | Variant       |   Return% |   Trades |   WinRate% |   MaxDD% |   FinalEquity |
|:--------|:--------------|----------:|---------:|-----------:|---------:|--------------:|
| BNB     | V1_Standard   |    182.1  |      757 |       35.8 |   -88.9  |      28209.9  |
| BNB     | V2_Turtle     |   8895.44 |      276 |       40.9 |   -58.07 |     899544    |
| BNB     | V3_Trend      |    664.78 |      594 |       36.4 |   -80.02 |      76477.7  |
| BNB     | V4_ATR_Trail  |     -8.08 |     1303 |       35.1 |   -84.17 |       9192.38 |
| BNB     | V5_Aggressive |    102.85 |     1276 |       35   |   -84.24 |      20285.5  |
| BTC     | V1_Standard   |    -49.99 |      727 |       33.6 |   -76.66 |       5001.07 |
| BTC     | V2_Turtle     |    333.91 |      293 |       35.2 |   -73.21 |      43390.7  |
| BTC     | V3_Trend      |     39.83 |      573 |       35.3 |   -67.85 |      13983.1  |
| BTC     | V4_ATR_Trail  |    -70.94 |     1228 |       31.9 |   -79.88 |       2905.83 |
| BTC     | V5_Aggressive |    -75.29 |     1236 |       32   |   -86.94 |       2470.61 |
| ETH     | V1_Standard   |    -17.69 |      736 |       34.1 |   -92.05 |       8231.28 |
| ETH     | V2_Turtle     |   1572.71 |      286 |       36   |   -61.18 |     167271    |
| ETH     | V3_Trend      |    238.81 |      568 |       33.5 |   -80.01 |      33880.9  |
| ETH     | V4_ATR_Trail  |    -64.68 |     1258 |       33   |   -81.81 |       3531.96 |
| ETH     | V5_Aggressive |    -18.87 |     1231 |       33.8 |   -76.27 |       8112.77 |
| SOL     | V1_Standard   |    216.88 |      528 |       35.6 |   -81.09 |      31687.9  |
| SOL     | V2_Turtle     |    474.62 |      213 |       36.6 |   -84.09 |      57462.2  |
| SOL     | V3_Trend      |    654.53 |      406 |       36.2 |   -62.35 |      75452.8  |
| SOL     | V4_ATR_Trail  |    -90.8  |      921 |       35.1 |   -91.55 |        920.29 |
| SOL     | V5_Aggressive |    -40.36 |      896 |       34.7 |   -90.81 |       5964.21 |
