TraderCopilot - Verified Performance Ledger
===========================================
Strategy: FlowMaster
Asset: BTC
Timeframe: 1h
Period: 5Y
Generated: 2026-01-27T17:27:11.743742Z

SUMMARY STATISTICS (Real Backtest Data - 5Y)
---------------------------------------
Total Trades: 408
Win Rate: 35.8%
Total Net Profit: +59.2 R
Wins: 146 | Losses: 262

TRADE HISTORY LOG (Verified On-Chain/Exchange Data)
---------------------------------------------------
ID       | DATE        | TYPE  | PRICE      | RESULT (R) | EXIT DATE  
-------- | ----------- | ----- | ---------- | ---------- | -----------
TR-10000 | 2026-01-16  | SHORT | $94585.98  | -1.0R      | 2026-01-16 
TR-10001 | 2026-01-11  | LONG  | $91127.16  | -1.0R      | 2026-01-11 
TR-10002 | 2026-01-11  | SHORT | $90526.02  | -1.0R      | 2026-01-11 
TR-10003 | 2026-01-11  | LONG  | $91013.65  | +2.2R      | 2026-01-12 
TR-10004 | 2025-12-31  | SHORT | $87662.01  | -1.0R      | 2026-01-01 
TR-10005 | 2025-12-30  | LONG  | $89016.35  | -1.0R      | 2025-12-30 
TR-10006 | 2025-12-28  | LONG  | $87856.91  | -1.0R      | 2025-12-28 
TR-10007 | 2025-12-28  | LONG  | $87900.09  | -1.0R      | 2025-12-28 
TR-10008 | 2025-12-25  | LONG  | $88371.27  | -1.0R      | 2025-12-25 
TR-10009 | 2025-12-18  | LONG  | $88345.20  | -1.0R      | 2025-12-18 
TR-10010 | 2025-12-18  | SHORT | $84483.79  | -1.0R      | 2025-12-18 
TR-10011 | 2025-12-12  | SHORT | $90372.00  | +2.2R      | 2025-12-14 
TR-10012 | 2025-12-09  | LONG  | $92707.51  | +2.2R      | 2025-12-09 
TR-10013 | 2025-12-02  | LONG  | $91458.40  | +2.2R      | 2025-12-03 
TR-10014 | 2025-12-01  | SHORT | $87000.00  | +2.2R      | 2025-12-01 
TR-10015 | 2025-11-26  | SHORT | $86899.73  | -1.0R      | 2025-11-26 
TR-10016 | 2025-11-26  | LONG  | $87820.01  | +2.2R      | 2025-11-26 
TR-10017 | 2025-11-23  | LONG  | $86331.28  | +2.2R      | 2025-11-23 
TR-10018 | 2025-11-09  | LONG  | $103762.17 | +2.2R      | 2025-11-09 
TR-10019 | 2025-11-03  | SHORT | $109665.50 | +2.2R      | 2025-11-03 
TR-10020 | 2025-11-01  | LONG  | $110464.33 | -1.0R      | 2025-11-01 
